BLDG_ID_x,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
52825273,30.06,,25600001,219375.4382,574591.2133,430.5594,176,1358
52825316,3.23,5501,25600005,220584.3669,574024.7454,183.066182,172,1020
52825331,11.99,,25600001,219336.3136,574192.5126,185.94495,235,1348
52826559,3.6725,,25600005,220627.5298,573576.9079,293.049725,177,1189
52826792,3.52,,25600003,218820.3138,573301.3249,128.5676,206,1703
52826812,4.4,,25600006,221023.788,574832.9903,214.8434534,293,2402
52826977,3.6725,,25600005,220462.2185,573396.359,400.4199105,157,1181
52827003,3.35,,25600003,219040.9744,573401.3319,148.1041086,182,1459
53391934,2.87,5705,25600005,220248.4735,573893.4519,713.5168,134,738
53391936,10.78,,25600003,219651.051,573726.2021,614.04455,91,600
52826232,0,,25600005,220741.5486,573482.927,408.2515143,227,1400
52826253,0,5305,25600002,219559.3141,573979.1021,671.0880442,163,1235
52826325,15.11,,25600005,220631.2483,573396.9381,281.4793,207,1369
53392015,10.29,6512,25600004,219821.5864,573522.2323,3345.9438,123,832
52827526,0,,25600007,220995.3079,574330.6237,174.4800693,235,1651
52827555,2.63,,25600003,219085.1589,573322.5249,231.744,243,1677
52827600,3.3,,25600003,219149.2899,573327.0343,216.2177551,207,1417
52827893,3.9,7300,25600004,219943.6024,573481.9577,332.79755,68,491
52827920,3.36,,25600003,219207.7201,573441.1978,213.621,195,1475
52827945,2.8,5202,25600003,219023.3606,573543.58,129.3175079,237,1706
52828011,3.27,,25600003,218990.5742,573489.3488,156.838304,224,1637
53391227,3.48,,25600005,220939.4249,573066.08,270.4267042,270,1923
52827217,0,,25600005,221284.197,573085.3548,224.4578361,305,2513
52827241,11.68,,25600003,219846.0424,573795.2124,411.2817,69,388
53392005,5.85,,25600007,221467.2169,573715.3215,154.844959,300,2337
53391238,5.84,,25600007,221390.3544,573662.4594,131.7864553,297,2307
52828081,3.49,,25600007,220894.7677,574035.0298,152.58465,203,1431
52828173,2.9,,25600007,221064.5817,573768.2608,161.0125,244,1740
53391283,3.53,,25600005,221335.0734,573008.293,100.114,329,2597
52828404,3.48,,25600003,218947.6918,573630.9422,176.5833574,208,1520
52828469,3.81,,25600006,221147.1799,574787.4041,174.801736,289,2363
52828513,3.64,5305,25600003,219070.4794,573489.1569,155.6459375,175,1397
52828550,12.39,,25600003,220530.6286,574265.6537,892.5617566,144,1035
52828572,0,,25600003,218973.9342,573580.69,148.3249963,211,1541
52829378,3.6725,,25600003,218917.3408,573408.6171,164.4823821,216,1612
52829470,2.84,,25600007,220967.6556,573919.3553,216.123639,215,1560
52829580,2.8,,25600003,218964.4726,573283.3537,148.7000287,252,1693
52829546,5.58,7300,25600004,218513.4522,572955.0953,555.86895,299,2493
52829833,6.47,,25600005,221076.6396,573194.8924,65.76943147,321,2228
52828953,2.78,5337,25600005,220582.0572,573098.4494,682.5036,222,1628
64807079,5.46,,25600007,221298.6745,574163.8639,363.9007187,333,2408
52828925,7.39,7300,25600004,219453.6162,573052.9318,520.5856028,173,1304
52829061,8.8,,25600005,221169.434,572951.8473,158.6223885,290,2385
52829206,0,,25600005,220759.5032,573450.4922,777.0327163,236,1437
52829213,5.43,6520,25600004,218428.5788,572946.4176,734.502,289,2512
52829214,3.65,,25600005,221409.4923,573008.1658,180.8312685,333,2696
64807068,0,6512,25600005,220636.7262,573451.6814,370.9464318,199,1331
53392538,13.69,,25600001,219417.2132,574110.4846,189.5873377,154,1113
64909308,3.24,,25600006,221123.17,574540.7639,250.75516,277,2122
52830567,2.89,,25600006,221407.6758,574776.8152,171.1654,336,2656
67186961,7.47,,25600007,220979.2363,574427.6822,354.8554124,253,1742
52830617,9.1,7300,25600004,219351.0695,572974.3596,2531.81195,163,1413
53392472,3.22,5000,25600005,220268.1864,573757.2135,105.432447,151,820
52831228,3.6725,,25600006,220199.1288,574871.7921,181.2696281,269,2004
52831232,12.24,5337,25600005,220653.6637,573083.1299,630.7249,204,1567
52831298,15.68,7300,25600004,219762.2382,573355.4182,3923.33965,133,904
52831508,6.45,,25600005,221288.5093,572933.6766,131.040304,303,2496
53392733,3.21,,25600006,220084.7915,575226.0826,150.1796,291,2268
52831753,3.04,,25600005,220943.3847,573297.2355,225.2041,225,1835
52830883,3.27,,25600005,221285.812,572788.0879,167.2888062,331,2715
52830907,9.93,,25600005,221412.5809,572681.1978,233.6063428,353,2867
52831137,5.59,,25600006,220926.0635,575015.1702,157.375129,335,2623
52832149,3.43,,25600003,218878.0696,573527.4213,127.2225,231,1630
52832155,3.68,,25600005,221250.3055,572899.9589,196.309167,301,2481
52832188,0,7300,25600004,218574.6885,572899.4429,547.5697943,291,2310
52832457,6.47,,25600006,221085.4473,574983.671,65.0159499,334,2609
52832458,5.93,,25600006,221435.0039,574884.8672,132.2184261,385,2939
52832607,2.98,,25600005,221320.9929,573016.8501,90.68957306,328,2581
53392784,3.87,,25600003,218797.3641,573474.3946,133.05865,248,1712
52831840,10.24,,25600001,219553.4509,574307.24,149.3723822,158,1031
52831943,5.95,5900,25600007,220938.5872,574298.3146,271.4319691,238,1818
52832005,2.5,,25600003,219056.2126,573247.4136,245.200804,231,1499
52833185,0,,25600003,219261.8237,573466.8733,246.775632,155,1124
53392206,8.5,7300,25600004,218625.4478,572815.0475,478.2772914,261,2180
52832970,13.94,7300,25600004,219228.8515,572617.2833,7138.37605,227,1850
52834336,10.6,,25600003,220172.3509,574130.0027,338.1048,164,895
52834338,9.42,,25600001,219415.5449,574541.2751,518.0337,214,1281
52834437,3.78,,25600006,220200.0503,575237.2452,192.0745113,297,2351
52835422,3.36,,25600003,218962.4198,573677.1037,132.4410995,192,1429
52834853,8.35,6520,25600004,220017.2847,573552.4033,605.8749317,82,462
52835624,13.57,,25600002,219400.1105,573930.4425,712.82935,192,1245
52835768,4.61,,25600005,220915.2914,573415.4322,130.4409047,234,1617
52837008,3.52,6535,25600003,220008.3977,574048.6058,453.7652155,131,645
52837038,5.04,,25600005,221188.879,572849.9192,197.6462674,315,2600
52837081,3.62,,25600006,220346.5469,574898.4059,200.564144,301,2236
52837085,3.58,,25600006,221390.0388,574798.6687,218.4077474,365,2839
52837111,10.39,,25600006,221723.936,574950.5961,144.977771,372,3191
52837108,4.64,,25600006,220027.1431,575130.2537,263.03635,269,2107
52837147,3.38,,25600006,220243.6338,575007.8101,203.9470565,295,2092
64806964,11.36,,25600003,220459.8159,574285.4785,996.3693706,198,1199
52837304,0,,25600006,220676.4957,575188.015,202.6561428,300,2408
52837345,5.42,,25600007,220824.8969,574107.2706,100.4109,170,1264
52836533,5.75,,25600007,220647.1079,574168.4215,123.4855,173,1083
52836632,5.34,,25600006,221441.0423,574694.0753,153.6951817,314,2566
52836644,7.42,,25600006,221511.3082,574697.1953,106.223,309,2523
52836739,4.04,,25600005,221337.0183,572705.5426,132.3967856,344,2803
52837942,4.13,5521,25600006,221151.2299,574639.8408,355.5923539,270,2137
52837982,3.6725,,25600006,221437.6909,574742.7205,175.0833,334,2646
52838013,3.73,,25600003,219298.2173,573691.7042,450.648676,141,1029
53393035,5.53,,25600006,221068.0345,574843.2288,188.0020812,291,2384
64806966,2.81,5202,25600006,220363.9927,574908.08,186.808859,298,2215
52837471,5.18,,25600006,221502.6284,574997.1552,167.2583087,361,2953
52837473,4.01,,25600006,221101.8529,574896.6938,172.3018129,323,2527
53392948,4.23,,25600005,220963.4269,573050.4584,129.72492,343,2340
52837560,2.86,,25600006,220859.9921,574791.2112,152.903006,330,2530
52837605,5.39,,25600007,221103.6707,573700.0743,209.0889528,252,1818
52838941,4.34,,25600006,220683.4508,575123.4919,198.6165908,295,2355
52838965,0,,25600006,221172.3442,574643.5324,116.8619174,273,2158
52839002,6.24,7300,25600004,219180.9802,571937.2404,225.3352976,258,2685
52839033,5.69,,25600006,220903.9025,574992.7143,271.2229581,339,2625
52838457,6.92,,25600006,220143.2788,575078.6526,126.6223428,247,2005
52838479,9.1,,25600001,219210.5382,574144.6154,321.812911,218,1568
53393998,2.66,,25600006,220943.8778,574720.1768,153.0906212,291,2356
52838717,2.98,,25600006,221456.0475,574458.1817,154.765577,303,2333
52838724,8.38,5000,25600007,220690.6991,574378.9579,865.141,216,1494
53394032,3.46,,25600003,219117.5164,573318.9968,161.4664576,209,1428
52838773,3.72,,25600006,221033.4685,575008.2057,159.2018903,346,2675
52839759,5.53,,25600006,221035.8369,575054.9482,159.2429962,349,2694
52839770,3.29,,25600006,221123.4214,574958.4785,182.5515,321,2567
