SAID,dmg_prcA,dmg_prcB,dmg_prc
67000011,0.17,0.05,0.1
67000012,0.16,0.05,0.09
67000013,0.1,0.03,0.06
67000014,0.19,0.04,0.07
67000015,0.13,0.04,0.05
67000021,0.16,0.05,0.09
67000022,0.1,0.03,0.05
67000023,0.04,0.01,0.02
67000024,0.13,0.04,0.09
67000025,0.2,0.06,0.11
67000031,0.23,0.07,0.13
67000032,0.05,0.01,0.02
67000033,0.1,0.03,0.03
67000034,0.15,0.04,0.05
67000035,0.06,0.01,0.02
67000036,0.28,0.08,0.16
