SAID,land_area_m2
67000011,1199403.06654
67000012,444810.622945
67000013,231338.376371
67000014,1817030.89545
67000015,4194414.13856
67000021,626334.072247
67000022,265379.492672
67000023,209312.712535
67000024,294124.332007
67000025,721361.742722
67000031,674101.260956
67000032,277580.560527
67000033,1594174.28932
67000034,1471893.67347
67000036,526761.944698
67000037,572704.856361
