locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
71000213,30.6,,66.6,95.4,2.5,0.4,1.9,2.2,6,52.5,3.2,43.3,22.6,3,15,23.9,26.4,23.2,7,3.2,1.3,1.3,40.5,42.7,10.6,3.1,3,1.2,0.4,0.6,2.6,0.8,53501,9.818913481,10.94567404,10.6639839,11.58953722,11.42857143,10.78470825,12.67605634,11.50905433,6.961770624,3.621730382,7100,1,31,0.221961804,0,0.778038196
71000214,31.3,,63.3,97.4,3.2,0.2,3.2,1.7,7,54.4,8.3,40.4,28.3,2.7,21.4,26.9,24.4,15.6,7.4,4,0.3,0.3,53.5,32.3,9.4,4.8,,0.6,0.2,0.4,1.3,0.3,52121,9.197939662,12.95069904,11.4790287,10.2281089,12.87711553,11.33186166,10.08094187,11.40544518,7.284768212,3.164091244,7100,1,31,0.221961804,0,0.778038196
71000215,29.2,,61.6,95.9,1.7,0.3,1.4,1.2,2.9,68.2,14.2,41.9,20.7,3.1,15.8,23.7,20.3,23.6,12.5,3.2,0.9,0.9,35.6,37.5,23.2,3.7,,0.9,0.4,0.4,1.4,0.2,56888.5,11.52392947,10.64231738,9.949622166,10.07556675,8.942065491,10.26448363,10.5163728,10.32745592,12.0906801,5.667506297,7100,1,31,0.221961804,0,0.778038196
71000221,19.4,,63.9,96.7,3.6,0.2,2.3,2.2,5.3,52.8,4.5,35.9,30.6,2.9,11.5,25.7,33.5,24.3,3.3,1.7,,,57.7,40.2,1,1,,0.6,0.2,0.6,2.1,0.7,53498,8.575317604,10.84392015,12.43194192,10.48094374,13.11252269,12.88566243,12.38656987,10.16333938,6.851179673,2.268602541,7100,1,31,0.221961804,0,0.778038196
71000222,71,60.2,52.3,98.4,6.7,1,5.2,6.6,15.1,33.9,1.6,21.9,48.2,2.4,38.5,20.2,23.7,8.5,1.7,5.1,2.3,2.3,39,19.5,15,16.1,10.3,0.2,0,0.2,0.4,0.3,42160,15.26104418,15.6626506,13.25301205,9.638554217,12.85140562,7.630522088,8.43373494,6.827309237,7.228915663,3.212851406,7100,1,31,0.221961804,0,0.778038196
71000223,34.4,,41.8,93.7,6.2,2.1,1.9,9.9,16.4,38.2,2.2,18.7,51.8,2.5,21.9,37.8,22.8,4.5,11.1,1.8,,,62.5,28.7,8.8,,,0.2,0.1,0.4,1,0.5,41816,13.91200951,14.6254459,13.43638526,12.84185493,12.00951249,12.48513674,8.917954816,7.015457788,3.923900119,0.832342449,7100,1,31,0.221961804,0,0.778038196
71000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100,1,31,0.221961804,0,0.778038196
71000225,33.3,,49.1,91.4,4.1,1,5.4,5.3,9.4,49.8,14.4,35.6,29,3.1,21.6,29,11.4,17.2,8.1,5.9,6.8,6.8,33.7,27.3,16.6,13.2,9.2,1,0.4,0.8,1.6,0.4,45477,13.54368932,13.44660194,12.23300971,11.40776699,10.87378641,9.805825243,8.300970874,8.349514563,8.203883495,3.834951456,7100,1,31,0.221961804,0,0.778038196
71000226,36.3,,39.6,97.3,4.9,0.4,2.9,3.4,10.4,40.3,4.1,36.2,40,2.8,23.6,30.4,16.8,12.7,6.9,5.4,4.3,4.3,40,31.3,14,6.8,7.9,0.8,0.2,0.6,1.3,0.5,41335,13.22910403,14.19122069,14.55201443,13.71016236,10.22248948,8.839446783,9.681298857,7.997594708,5.892964522,1.683704149,7100,1,31,0.221961804,0,0.778038196
71000311,17.8,15,60.3,97.1,4.7,0.8,2.2,3.1,8.2,45,5.5,28.6,37.1,2.6,15.5,41,19.3,16.5,4.8,1.9,0.9,0.9,47.9,45.3,3.1,1.8,1.9,0.6,0.2,0.6,1.7,0.9,47698,11.96698762,11.27922971,12.74644658,12.74644658,11.37093077,11.41678129,12.05868867,9.582760202,4.997707474,1.834021091,7100,1,31,0.221961804,0,0.778038196
71000312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100,1,31,0.221961804,0,0.778038196
71000313,54.9,14.7,34.5,95.8,5.3,2.4,4,9.6,16.1,10.6,0.2,16,48.6,1.9,45.9,34.1,12.9,4.2,1.9,0.7,0.3,0.3,59.1,27.6,10.5,1.9,1,0.6,0.2,0.6,1.7,1.2,30674,16.20830895,18.89994149,17.02750146,11.70275015,11.29315389,9.069631363,7.489760094,5.324751317,2.282036279,0.702165009,7100,1,31,0.221961804,0,0.778038196
71000314,43.4,0.5,44.8,89.9,4.9,0.6,2.4,5.3,7.6,20.6,0.5,24.1,32.3,2.4,37.5,28,12.2,9.6,7.3,2.6,2.7,2.7,34.5,32.7,22.1,4.2,6.4,1,0.4,1,2.2,0.9,40904,14.62626263,14.06060606,12.96969697,14.70707071,12.60606061,11.07070707,10.02020202,6.383838384,2.747474747,0.808080808,7100,1,31,0.221961804,0,0.778038196
71000315,72.1,,29.8,85.6,6.2,2.6,5.3,12.5,17.5,13.5,1.5,18,48.1,2,51.7,26,10.4,4.7,2,2.5,2.7,2.7,24.8,30.9,20,13.8,10.6,0.4,0.2,0.4,0.9,0.5,33575,15.52270327,18.05702218,15.62829989,13.83315734,10.55966209,10.77085533,7.391763464,5.491024287,1.795142555,0.950369588,7100,1,31,0.221961804,0,0.778038196
71000316,50.6,13.3,49.4,96.2,4.1,1.1,2,5.4,9.4,28.3,2.2,34.5,36.2,2.6,34.2,21.3,20.8,11.7,7.9,1.2,2.8,2.8,47.7,27.8,15.1,5.9,3.4,0.8,0.2,0.7,1.8,0.8,37679,14.05950096,15.30710173,15.45105566,12.95585413,11.94817658,10.94049904,8.541266795,5.56621881,4.318618042,0.911708253,7100,1,31,0.221961804,0,0.778038196
71000321,17.3,30.2,57.7,97,0.8,,2,1.5,2.7,57.7,15.7,53.3,24.4,3.7,13.6,17.5,14.5,21.3,17.9,6.4,9,9,30.6,33.5,19.4,10.3,6.2,1.5,0.4,0.8,2.2,0.8,47892,12.21505376,12.43010753,12.7311828,11.01075269,11.61290323,11.52688172,10.19354839,8.043010753,6.924731183,3.311827957,7100,1,31,0.221961804,0,0.778038196
71000322,36.5,,49,94.9,1.9,0.5,1.8,4,5.2,31.9,3,31.5,40.5,2.7,23.6,30.9,20.6,12.3,7.2,3,2.3,2.3,43.1,31.1,16.3,7.2,2.3,0.8,0.4,0.8,1.5,0.5,40056,15.44715447,13.38753388,14.41734417,12.57452575,12.46612466,10.02710027,10.73170732,6.449864499,3.956639566,0.54200542,7100,1,31,0.221961804,0,0.778038196
71000323,41.8,1,56.1,92.8,3.5,0.7,4.3,4.5,8.8,39.3,3.6,33.3,31.8,2.8,23.8,27.8,18.8,13.6,10,3.7,2.4,2.4,42.3,31.1,14.8,7,4.8,1,0.4,0.8,2.1,0.7,45458.5,11.02997694,13.22059954,13.64335127,13.48962337,12.1829362,10.53036126,10.60722521,8.839354343,4.842428901,1.614142967,7100,1,31,0.221961804,0,0.778038196
71000324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100,1,31,0.221961804,0,0.778038196
