assets ID,bldgID,BuildingYear,AssetFloor
91600000,51662573,1983,
91600001,51662573,1983,-1
91600002,51662573,1983,0
91600003,51662573,1983,0
91600004,51662573,1983,0
91600005,51662573,1983,0
91600006,51662573,1983,0
91600007,51662573,1983,0
91600008,51662573,1983,0
91600009,51662573,1983,0
91600010,51662573,1983,0
91600011,51662573,1983,0
91600012,51662573,1983,0
91600013,51662573,1983,1
91600014,51662573,1983,2
91600015,51662573,1983,4
91600016,51662573,1983,1
91600017,51662573,1983,1
91600018,51662573,1983,1
91600019,51662573,1983,1
91600020,51662573,1983,1
91600021,51662573,1983,2
91600022,51662573,1970,3
91600023,51662573,1983,0
91600024,51662573,1983,3
91600025,51662573,1983,3
91600026,51662573,1983,3
91600027,51662573,1983,3
91600028,51662573,1983,3
91600029,51662573,1983,3
91600030,51662573,1983,0
91600031,51662573,1983,0
91600032,51662573,1983,0
91600033,51662573,1983,0
91600034,51662573,1983,0
91600035,51662573,1983,0
91600036,51662573,1983,
91600037,51662573,1983,1
91600038,51662573,1983,-1
91600039,51662573,1983,2
91600040,51662573,1983,2
91600041,51662573,1983,3
91600042,51662573,1983,3
91600043,51662573,1970,3
91600044,51662573,1983,3
91600045,51662573,1983,3
91600046,51663420,,
91600047,51662712,,
91600048,53183781,1960,
91600049,53183781,1970,1
91600050,53183781,1960,1
91600051,53183781,1960,1
91600052,53183781,1960,1
91600053,53183781,1960,1
91600054,53183781,1960,1
91600055,53183781,1960,1
91600056,53183781,1960,1
91600057,53183781,1960,
91600058,53183781,1960,1
91600059,53183781,1960,1
91600060,53183781,1960,1
91600061,53183781,1960,1
91600062,51663826,1970,
91600063,51664591,1960,
91600064,51664591,1960,0
91600065,51664591,1960,0
91600066,51664591,1960,0
91600067,51664591,1960,0
91600068,51664591,1960,0
91600069,51664591,1960,0
91600070,51664591,1960,0
91600071,51664591,1960,0
91600072,51664591,1960,0
91600073,51664591,1960,0
91600074,51664591,1960,0
91600075,51664591,1960,0
91600076,51664591,1960,0
91600077,51664591,1960,0
91600078,51664591,1960,0
91600079,51664591,1960,0
91600080,51664591,1960,0
91600081,51664591,1960,0
91600082,51664591,1960,0
91600083,51664591,1960,0
91600084,51664591,1960,0
91600085,51664591,1960,0
91600086,51664591,1960,0
91600087,51664591,1960,0
91600088,51664591,1960,0
91600089,51664591,1960,0
91600090,51664591,1960,0
91600091,51664591,1960,0
91600092,51665180,1800,
91600093,52427417,,
91600094,52427417,,
91600095,52426973,,
91600096,52426103,1994,0
91600097,52426103,1994,3
91600098,52426103,1992,0
91600099,52426103,1992,0
91600100,52426103,1994,1
91600101,52426103,1992,1
91600102,52426103,1992,1
91600103,52426103,1994,2
91600104,52426103,1992,2
91600105,52426103,1992,2
91600106,52426103,1992,3
91600107,52426103,1992,0
91600108,52426103,1992,3
91600109,52426103,1992,3
91600110,52426103,1994,4
91600111,52426103,1992,4
91600112,52426103,1994,4
91600113,52426103,1992,0
91600114,52426103,1992,0
91600115,52426103,1992,0
91600116,52426103,1992,0
91600117,52426103,1992,1
91600118,52426103,1992,1
91600119,52426103,1992,1
91600120,52426103,1992,1
91600121,52426103,1994,1
91600122,52426103,1992,2
91600123,52426103,1992,2
91600124,52426103,1992,2
91600125,52426103,1992,2
91600126,52426103,1992,3
91600127,52426103,1994,3
91600128,52426103,1992,1
91600129,52426103,1992,1
91600130,52426103,1992,2
91600131,52426103,1992,2
91600132,52426103,1992,2
91600133,52426103,1994,3
91600134,52427004,,
91600135,52426571,1970,1
91600136,52426571,1970,1
91600137,52426142,2000,0
91600138,52426142,2000,3
91600139,52426142,2000,3
91600140,52426142,2000,3
91600141,52426142,2000,4
91600142,52426142,2000,4
