locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
71000223,34.4,0,55.6,93.7,17.7,9.1,15.6,13.1,10.8,42,11.6,26.9,44.9,2.7,32.2,23.7,18.7,7.3,10.7,4.4,3,30.7,33,17.9,13.9,4.6,0.72,0.64,1.12,1.16,1.06,2110,78800,8,15.8,18.8,11.7,16.9,11.6,4.8,5.9,6.1,0.5,7100,1,31,72.3,0,27.7
71000231,31.3,0,70.4,97.4,10.3,2.9,3.9,5.3,3.9,53.1,25.1,37.8,29.7,2.8,20.5,31.7,15.6,15.9,12.6,2.7,1.1,35.5,44.5,16.1,2.7,1.2,0.83,1.02,0.88,1.11,1.06,3840,114800,4.7,8.2,8.4,12.1,12,11.3,12.3,15.9,10.2,5,7100,1,31,53,0,47
71000232,29.2,0,68.3,95.9,8.1,3.7,3.7,3.7,3.5,42.1,34,36.9,31.6,3,24,25.5,13.6,17.7,9.6,4.9,4.7,43,30.2,17.3,8.2,1.3,0.78,1.11,1.31,1.13,0.73,3180,108100,6.1,9.7,14.4,7,10.9,10,13,10.4,12.8,5.7,7100,1,31,64.5,0,35.5
71000242,33.3,0,59.2,91.4,12.7,4.1,5.3,8.1,5.5,45.8,21.3,30.7,35.8,2.7,31.4,29.1,12.2,10.5,6.5,6,4.1,35.8,28.3,16.7,11.3,7.9,0.87,1.09,1.2,1,1.01,4570,89500,11.2,14.6,8.3,12,11.6,13,10.7,6.2,7.7,4.6,7100,1,31,71.4,0,28.6
71000243,36.3,0,57.8,97.3,11.6,6.1,4.1,6.8,8,45.7,18.4,39.6,37.7,3.1,24.4,26.3,12.5,13,12.4,5,6.4,32.9,25.7,18.2,12.2,11,1.08,1.15,1.02,0.92,1.01,3840,79900,12.6,13.8,13.6,12.6,10.8,12.9,10.4,8.3,3.1,1.8,7100,1,31,68.5,0,31.5
71000244,36.3,0,75.5,97.3,4.4,1.2,0.9,2.5,1.9,53,35.9,69.1,19.3,4.3,6.9,9.7,18.4,19,23,9.8,13.1,23.5,30.2,23.2,8.8,14.3,1.52,1.37,0.82,0.94,0.37,1390,104300,7,8.8,8.7,11,15,13.6,7.8,16.4,8.3,3.4,7100,1,31,60.9,0,39.1
71000311,17.8,15,67.7,97.1,12.6,3.5,3.3,7.3,5.6,42.6,14.2,25.8,39.8,2.5,28.3,32.3,17.9,11.5,5.9,2.6,1.6,52.3,30.9,11,3.1,2.7,0.58,0.69,0.94,1.04,1.69,3740,96400,10.6,9.7,8.6,13,15.9,16.2,8.7,8.6,7.4,1.2,7100,1,31,59.6,0,40.4
71000312,9.9,0,79.9,98.3,4.5,0.7,2.3,2.2,2.6,52.6,36.7,63.2,10,3.5,13.7,14.5,21.2,23.4,16.3,7.8,3.1,26.6,39.2,20.1,9.6,4.6,1.49,1.07,1.02,1,0.24,9820,104800,7,10.7,11.7,9.6,10.9,9.9,12.5,14,10.6,3.2,7100,1,31,55.9,0,44.1
71000313,54.9,14.7,53.1,95.8,18.7,5.4,10.3,9.9,9,27.6,3.1,19.8,41.9,2,50.2,26.4,12.5,5.1,3.1,1.4,1.3,46.7,29.8,14.4,4.9,4.2,0.66,0.86,0.87,1.1,1.41,3700,68200,16.6,17.8,12.9,16.8,12.7,11,6.3,4.6,1.3,0,7100,1,31,69.3,0,30.7
71000314,43.4,0.5,60.7,89.9,16.6,6.6,8.2,7.7,7.9,26.3,7.5,25.8,37.9,2.3,30.9,36.6,14.5,9.9,4.2,1.9,2,50.1,24.2,17.9,6,1.9,0.71,0.79,0.98,1.06,1.38,4230,65200,13.4,15.8,19.1,16.1,12.2,12.2,6.5,3.8,0.4,0.5,7100,1,31,72,0,28
71000315,72.1,0,67.7,85.6,15.6,2.9,7.4,5.2,5.4,34.3,6.9,17.7,37.6,1.8,56.6,24,9,6.5,3.5,0.5,0,45.9,27.4,24.1,2.6,0,0.69,0.65,1.29,1,1.38,1630,63700,17.3,16.9,16.2,25.4,6.1,2.5,13,2,0.6,0,7100,1,31,71.7,0,28.3
