locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt.1,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
30000112,0,0,56.5,86.65,1.4,0.7,3.3,1.5,1.5,43.9,8.9,60.3,18.3,4.1,9.5,29.7,14.4,14.4,9.5,11.1,29.7,,44.1,15.1,5.4,13.3,22.2,761,286,440,703,174,61800,22.82282282,13.91391391,13.41341341,12.81281281,11.31131131,8.508508509,4.404404404,5.805805806,5.605605606,1.401401401,ירושלים,1,31,,,0.07
30000114,0,0,50.8,91.95,1.1,2.4,2.1,2.9,5.2,32.3,4.5,65.9,65.9,4.8,18.7,16.3,16.3,7.5,8.5,16.3,18.7,,17.4,10,14.3,10.9,47.3,2473,341,447,1155,271,77900,15.41541542,11.01101101,13.01301301,16.01601602,12.21221221,10.31031031,9.209209209,7.107107107,5.105105105,0.600600601,ירושלים,1,31,,,0.023
30000116,0,0,62.5,87.15,1.1,1.1,1.7,1.3,3.2,41,7.1,69.9,14.9,4.3,15.3,11.6,15.3,14.9,15.3,11.6,18.9,,17.4,22.1,20.5,13.4,26.6,1713,141,493,911,131,72300,12.58741259,15.38461538,19.58041958,10.78921079,11.88811189,14.28571429,7.992007992,5.594405594,1.498501499,0.3996004,ירושלים,1,31,,,0.08
30000211,0,0,68,90.15,1.9,2.7,4.3,5.1,6.5,75.1,23,42.5,30.8,3.1,21,21,13.4,13.4,16.5,16.5,3.7,,30,33.4,19.2,11.1,6.3,1643,415,777,2100,876,104900,6.6,13.2,9.1,11,9.9,10.2,14.7,11.4,9.8,4.1,ירושלים,1,31,,,0.131
30000212,0,0,66.7,89.45,1.7,3.4,5.2,4.3,6.9,70.6,22.1,43.3,30,3.2,18.2,18.2,13.9,15.5,15.5,4.2,5.9,,24.8,27.4,30.5,7.1,10.2,1132,233,498,1315,546,102900,9.1,9.2,12.2,8.2,12.5,15.3,11,11.1,6.8,4.6,ירושלים,1,31,,,0.126
30000213,0,0,66.4,90.3,3.7,3.3,1.9,2.7,6.6,64.4,18.2,34.3,35,2.8,29.2,29.2,12.8,11,8.4,5,4.7,,33,24.9,19,15.5,7.7,1332,276,757,1708,892,98500,10.4,9.6,12.9,8.4,13,10.5,12.1,10.1,9.1,3.9,ירושלים,1,31,,,0.107
30000214,0,0,65.7,93.45,1.5,2.3,3.4,3.9,8,62.4,13.6,43.2,27.2,2.9,20.7,20.7,32.8,16.7,8,16.7,20.7,,32.9,36.9,18.2,6.9,5.1,514,131,300,621,237,79800,9.1,10.4,13.4,18.2,11.2,13.4,11.1,7.5,4,1.7,ירושלים,1,31,,,0.179
30000215,0,0,62.5,87.3,3.1,2,2.2,1.7,3.4,67.7,24.9,40.9,31.4,3.2,15.2,15.2,36.5,14.6,15.2,36.5,8.8,,28.9,27.1,16.3,11.3,16.4,1588,365,789,1732,664,95800,7.8,13.9,10.3,12.5,11.2,10.6,10.5,9.9,5.7,7.6,ירושלים,1,31,,,0.176
30000222,0,0,69.8,84.65,1.9,1.1,1.3,2,2.6,76.6,34.4,38.1,27.4,3.1,16.1,32,32,12.3,11.3,16.1,4.7,,35.6,26.6,20,10,7.8,986,293,605,1730,741,112200,10.4,8.8,9.2,9.2,8.4,9.9,11.1,11,13.4,8.6,ירושלים,1,31,,,0.158
30000223,0,0,73.5,89.7,0.9,1.6,1.8,2,5.2,81,41.7,41.9,21.9,3.3,16.5,25.5,15.5,16.3,16.5,16.5,7.7,,34.6,28.9,16.2,13.7,6.6,1196,422,1134,1986,513,103400,11.2,12,8.5,10.3,8.7,8.3,9.9,10.2,10.9,10,ירושלים,1,31,,,0.166
30000224,0,0,69.5,91.05,2,1.6,3.6,3.2,5.7,74.4,27.5,37.1,33.5,2.9,26.9,26.9,16.1,24.8,11.2,26.9,2.9,,30.1,27.8,23.8,12.7,5.5,731,236,416,1123,431,115200,6.4,9.9,7.2,6.6,13.3,13.8,9.7,11.5,16.7,4.9,ירושלים,1,31,,,0.133
