AssetID,BuildingID,BuildingYear,assetFloor
4664492,52430921,1995,
4664494,52430921,1995,4
4664495,52430921,1995,4
4664496,52430921,1995,3
4664497,52430921,1995,3
4664529,52431253,1930,1
4664530,52431253,1930,2
4664531,52431253,1930,1
4664672,52432643,1970,1
4664673,52432643,1970,3
4664674,52432643,1970,3
4664859,52433126,1960,8
4665433,52438482,1970,5
4665813,52441606,1950,1
4665814,52441606,1950,3
4665815,52441606,1950,2
4665816,52441606,1950,1
4665818,52441606,1950,
4665981,52443356,1950,
4665982,52443356,1950,2
4665984,52443356,1950,
4665985,52443356,1950,3
4666265,52444921,2004,
4666266,52444921,2004,1
4666267,52444921,2004,2
4666268,52444921,2004,2
4666269,52444921,2004,
4666270,52444921,2004,2
4666271,52444921,2004,2
4666476,52445901,1928,1
4666478,52445901,1928,1
4667035,52449592,1950,1
4667179,52450847,1942,3
4668176,52458917,1940,3
4668356,52460175,2025,1
4668758,52461985,1920,1
4668759,52461985,1920,3
4668761,52462030,1950,2
4668762,52462030,1950,1
4669260,52465440,1930,
4669262,52465440,1930,
4669263,52465440,1930,
4669264,52465440,1930,
4673137,52489604,1950,1
4673138,52489604,1950,1
4673153,52489900,1970,7
4673154,52489900,1970,9
4673155,52489900,1970,1
4673156,52489900,1970,9
4673157,52489900,1970,2
4673158,52489900,1970,2
4673159,52656221,1970,6
4673161,52656221,1970,
4673162,52489900,1970,7
4673163,52489900,1970,
4673164,52489900,1970,7
4673165,52489900,1970,
4673167,52489900,1970,8
4673168,52489900,1970,1
4673170,52656221,1970,
4673171,52489900,1970,
4673172,52489900,1970,1
4673173,52656221,1970,7
4673174,52656221,1970,9
4673177,52489900,1970,
4673178,52656221,1970,
4673179,52656221,1970,9
4673180,52656221,1970,10
4673181,52656221,1970,10
4673182,52656221,1970,9
4673183,52489900,1970,9
4673184,52489900,1970,7
4673185,52489900,1970,7
4673186,52489900,1970,3
4673187,52489900,1970,7
4673188,52656221,1970,
4673189,52489900,1970,3
4673190,52656221,1970,5
4673191,52489900,1970,1
4673192,52489900,1970,
4673193,52656221,1970,
4673195,52489900,1970,7
4673196,52656221,1970,1
4673197,52489900,1970,9
4673198,52489900,1970,8
4673199,52489900,1970,1
4673200,52489900,1970,8
4673201,52656221,1970,7
4673202,52489900,1970,10
4673203,52489900,1970,3
4673204,52656221,1970,
4673205,52656221,1970,4
4673206,52489900,1970,10
4673207,52656221,1970,
4673218,52490025,1920,
4673219,52490025,1920,
4673220,52490025,1920,
4673222,52490025,1920,2
4673253,52490511,1960,
4673254,52490511,1960,4
4673769,52494341,,
4673770,52494341,,
4673821,52494700,2003,1
4673822,52494700,2003,3
4673823,52494700,2003,5
4673824,52494700,2003,1
4673825,52494700,2003,1
4673826,52494700,2003,3
4673827,52494700,2003,7
4673828,52494700,2003,3
4673829,52494700,2003,6
4673830,52494700,2003,1
4673832,52494700,2003,4
4673833,52494700,2003,1
4673835,52494700,2003,5
4673836,52494700,2003,4
4673837,52494700,2003,4
4673838,52494700,2003,1
4673899,52495027,1960,1
4673993,52495623,1930,3
4673994,52495623,1930,1
4673995,52495623,1930,1
4674002,52495696,1950,
4674003,52495696,1950,1
4674011,52495884,1970,
4674012,52495884,1970,1
4674056,52496304,1950,3
4674075,52496573,1960,2
4674076,52496573,1960,2
4677610,52522742,1950,1
4677611,52522742,1950,3
4677612,52522742,1950,1
4677715,52523050,1930,3
4677716,52523050,1930,2
4678059,52526023,1950,
4678060,52526023,1950,3
4678064,52526023,1950,
4678065,52526023,1950,1
4678200,52527404,1930,
4679785,52537445,1990,
4679786,52537445,1990,
4680462,52544056,2023,1
4680463,52544056,2023,
4680464,52544056,2023,1
4680465,52544056,2023,1
4680466,52544056,2023,1
4681571,52413258,2030,5
4682187,52557329,1950,2
4682192,52557329,1950,4
4682235,52557636,1960,4
4682237,52557636,1960,4
4682239,52557636,1960,
4682240,52557636,1960,2
4682693,52561431,1950,1
4683615,52570346,1950,2
4684093,52581450,1970,
4684590,52585965,1930,
4684591,52585965,1930,
4684592,52585965,1930,
4684593,52585965,1930,
4684680,52586643,1960,1
4684709,52587060,1970,1
4685728,52598121,1930,2
4685729,52598121,1930,1
4686100,52602525,1940,2
4686102,52602525,1940,2
4686103,52602525,1940,3
4686104,52602525,1940,1
4686105,52602525,1940,1
4686106,52602525,1940,1
4686107,52602525,1940,1
4686109,52602525,1940,3
4686110,52602525,1940,1
4686111,52602525,1940,2
4686112,52602525,1940,2
4686113,52602525,1940,2
4686114,52602525,1940,2
4686115,52602525,1940,
4686117,52602525,1940,1
4686118,52602525,1940,1
4686119,52602525,1940,1
4686120,52602525,1940,3
4686121,52602525,1940,1
4686122,52602525,1940,2
4686123,52602525,1940,1
4686161,52602803,2001,
4686162,52602803,2001,2
4686165,52602803,2001,
4686882,52646580,1930,1
4686883,52646580,1930,1
4687098,52647789,1920,1
4687151,52647882,1960,10
4687314,52649049,1930,2
4687315,52649049,1930,6
4687316,52649049,1930,
4687411,52649899,1960,1
4688046,52655795,2025,5
4688166,52657520,1910,
4688167,52657520,1910,
4688263,52658330,1950,1
4689088,52665925,1960,1
4689090,52665925,1960,2
4689091,52665925,1960,1
4689625,52679003,1960,
4689627,52679003,1960,1
4689629,52679003,1960,
4689631,52679003,1960,
4689632,52679003,1960,
4689633,52679003,1960,
4689725,52680642,1970,7
4689726,52680642,1970,9
4689727,52680642,1970,3
4689728,52680642,1970,6
4689729,52680642,1970,7
4689730,52680642,1970,1
4689731,52680642,1970,1
4689733,52680642,1970,9
4689734,52680642,1970,2
4689735,52680642,1970,2
