dealId,AssetId,date,area,rescode,pricePerMeter2009
9274912290,91613090,07/04/2003 00:00,110.15,1,17657.34644
9280523430,91628916,08/04/2003 00:00,25,1,12131.25541
9274371750,91613106,09/04/2003 00:00,113.4,1,19331.54294
9274664430,91628315,13/04/2003 00:00,92,1,11502.04687
9274931010,91613151,13/04/2003 00:00,88.1,1,18409.71741
9275492880,91600594,29/04/2003 00:00,76.4,1,20883.8195
9275055480,91611430,04/05/2003 00:00,120,1,14141.74828
9363474810,91613979,19/05/2003 00:00,110.8,1,16811.67334
9276222060,91619594,25/05/2003 00:00,150,1,18340.0798
9277402590,91619594,26/05/2003 00:00,130,1,17847.15828
9276530310,91613142,04/06/2003 00:00,89.6,1,18512.42044
9276526620,91608969,10/06/2003 00:00,220,1,13236.19362
9277803720,91625674,10/06/2003 00:00,84.1,1,22313.00419
9277695900,91600613,24/06/2003 00:00,91.2,1,21861.91207
9277396740,91625674,25/06/2003 00:00,108.7,1,19637.03454
9278482410,91613110,30/06/2003 00:00,113.4,1,18173.06069
9278890020,91601773,07/07/2003 00:00,60,1,21037.44093
9279055440,91628306,13/07/2003 00:00,180,1,16202.5203
9278598870,91604636,17/07/2003 00:00,84,1,17043.49068
9278186130,91624888,20/07/2003 00:00,120,1,15971.8466
9279096210,91625136,01/08/2003 00:00,97.23,1,13447.85801
9279099090,91630096,01/08/2003 00:00,124,1,21089.27797
9280531440,91600598,04/08/2003 00:00,92.6,1,20702.62351
9278805420,91610727,04/08/2003 00:00,115,1,16413.64923
9279604080,91626871,11/08/2003 00:00,142.76,1,20705.25117
9279438570,91602719,13/08/2003 00:00,161,1,16263.02794
9279449820,91602450,17/08/2003 00:00,90,1,33534.9471
9280341540,91626565,17/08/2003 00:00,49.5,1,12909.51473
9279621900,91622834,25/08/2003 00:00,74,1,17890.81604
9279887760,91613730,26/08/2003 00:00,92.5,1,17571.96982
9280117890,91647232,27/08/2003 00:00,180,1,21883.28253
9280475820,91611883,27/08/2003 00:00,90,1,19443.71526
9279853560,91611760,28/08/2003 00:00,141,1,15571.70598
9280085220,91626696,01/09/2003 00:00,109.3,1,13137.67375
9279890820,91621260,02/09/2003 00:00,190,1,19635.84792
9279967950,91619594,02/09/2003 00:00,137,1,16944.47866
9280002780,91601605,02/09/2003 00:00,180,1,13449.34374
9279889200,91608897,04/09/2003 00:00,84,1,14607.40856
9280319940,91607386,07/09/2003 00:00,113.4,1,18394.51448
9280723050,91601250,07/09/2003 00:00,73,1,14491.67419
9279985770,91610268,11/09/2003 00:00,58.5,1,14739.00683
9280238310,91622025,15/09/2003 00:00,114,1,17046.82501
9280095570,91607495,16/09/2003 00:00,68.6,1,3432.297874
9280512180,91619594,18/09/2003 00:00,172,1,16966.99624
9280451970,91608852,23/09/2003 00:00,86.6,1,3101.829094
9280296090,91614799,24/09/2003 00:00,48,1,9741.56233
9281324610,91612238,24/09/2003 00:00,97,1,16718.13636
9280735650,91616501,24/09/2003 00:00,100,1,12336.54872
9281648970,91621683,25/09/2003 00:00,275,1,16195.48869
9280688220,91602303,29/09/2003 00:00,63.65,1,38294.78799
9281592630,91606230,30/09/2003 00:00,89.35,1,19745.48537
9280860390,91630532,02/10/2003 00:00,81.57,1,17159.41712
9281106900,91605731,15/10/2003 00:00,150,1,25572.18089
9281308860,91629806,17/10/2003 00:00,1863,3,277.2697856
9281677320,91625674,27/10/2003 00:00,112.4,1,18679.18578
9282053700,91602262,30/10/2003 00:00,76,1,19732.52332
9281905920,91605730,31/10/2003 00:00,84,1,15710.84714
9281419560,91618540,02/11/2003 00:00,40.7,1,4836.338878
9360023400,91627790,03/11/2003 00:00,97.17,1,18540.46741
9281261340,91613458,09/11/2003 00:00,40.5,1,7002.014793
9281707560,91625022,10/11/2003 00:00,74,1,20288.03173
9281804130,91601729,10/11/2003 00:00,100,1,16514.45783
9281738070,91613096,14/11/2003 00:00,100.25,1,17704.61033
9360061380,91625674,16/11/2003 00:00,84.1,1,21342.50547
9281538270,91630329,16/11/2003 00:00,74,1,16591.10151
9282067020,91611883,17/11/2003 00:00,90,1,22464.11099
9281734290,91645312,17/11/2003 00:00,76.75,1,19300.28435
9281865150,91622489,18/11/2003 00:00,46.5,1,10546.86782
9281776050,91613097,19/11/2003 00:00,100.25,1,17471.65493
9282085560,91607380,20/11/2003 00:00,99.25,1,16135.03246
9281869560,91629715,20/11/2003 00:00,78.1,1,9056.157116
9360901800,91624198,24/11/2003 00:00,49.6,1,42577.59778
9281842830,91620600,24/11/2003 00:00,80,1,13094.79737
9282355110,91623031,27/11/2003 00:00,240,1,6185.971157
9360496530,91600610,28/11/2003 00:00,75.6,1,19726.26436
9281843550,91625021,30/11/2003 00:00,69,1,18905.43994
9281955690,91606118,01/12/2003 00:00,59.4,1,14036.76203
9360595260,91623235,01/12/2003 00:00,61.7,1,18090.66873
9282097530,91625674,01/12/2003 00:00,118.1,1,21066.07002
9282174570,91601181,04/12/2003 00:00,73.5,1,17839.34766
9282379500,91607403,04/12/2003 00:00,99.25,1,17784.04257
9360459270,91601191,05/12/2003 00:00,98.6,1,21072.36409
