BLDG_ID,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
52715876,12.61,9200,71000314,158382.7569,618313.8814,286.9734,385,1764
52717306,5.03,9200,71000423,158809.7326,621671.9673,135.07465,641,4352
52718723,10.78,9200,71000315,158741.75,618437.2954,177.460062,316,1504
52719689,11.77,9200,71000314,158362.9261,618042.5161,669.6440001,428,1944
52721065,4.94,9200,71000242,160663.3978,618187.1705,260.7443,450,2703
53372854,4.04,9200,71000242,160810.4234,618120.4908,379.7606165,484,2877
52715301,4.96,9200,71000323,157875.9769,617373.6537,650.0740765,611,3243
64908659,6.2,9200,71000423,159295.6793,621399.4031,160.8017,612,4128
52715306,8.8,9200,71000423,159061.9548,621983.5797,250.515623,675,4161
53372579,17.62,9200,71000425,159874.0193,621133.4219,353.1967,566,3393
52717978,14.6,6520,71000224,161972.6123,618936.8275,1289.995206,529,3331
52716741,7.5,9200,71000426,160355.3093,621693.969,178.943186,726,3830
52715852,4.56,9200,71000423,159365.5791,621440.0014,300.059852,599,3422
52717253,7.9,9200,71000211,160162.25,619356.035,224.1,357,1643
52716806,6.5,9200,71000426,160249.2654,621396.9502,174.4732445,656,3888
53372161,8.7,9200,71000424,159768.4863,621296.2308,86.6291,547,3272
52718728,4.91,9200,71000242,160948.2456,618190.8265,331.863436,562,3041
52720093,4.57,9200,71000316,159045.6359,618760.0799,643.6848635,246,951
52720094,6.05,9200,71000325,157673.3837,618920.8398,526.7936375,418,2270
52720069,6.6,6520,71000222,161073.0068,619244.692,178.232545,493,2715
52719635,4.25,9200,71000242,159888.2146,618118.7539,125.9641115,391,2215
52719638,8.2,9200,71000242,160310.65,617830.5,126.351,439,2582
52721002,5.4,9200,71000242,160014.5907,617841.4378,241.2086,404,2373
52721072,6.63,6600,71000316,158804.1989,618788.4238,388.2972,239,929
52720546,12.2,9200,71000314,157960.445,618046.81,640.9252,454,2213
52720549,22.97,9200,71000311,159454.7878,618734.7596,382.8722,232,913
52720550,6.8,9200,71000242,160304.95,617754.2161,145.00769,448,2644
53372216,22.11,9200,71000323,158064.8982,617540.4653,1047.4732,578,3026
52722000,5.7,9200,71000242,160046.205,617687.31,188.7942,434,2531
53373016,7.61,9200,71000223,161243.1462,619681.438,132.06245,553,3247
53371887,7.4,9200,71000424,160066.2503,621504.2548,163.4748645,717,4031
52717260,13.69,9200,71000316,159110.1,619091.785,520.078,179,644
52718210,3.87,9200,71000316,159078.8326,618982.9216,572.971106,220,893
52716402,5.14,9200,71000424,159711.162,621433.2097,137.5314518,580,3453
52720513,10.61,9200,71000243,160512.3158,618768.1457,717.521587,417,2075
52720515,3.94,9200,71000242,160872.9291,618193.1037,296.7333132,521,3031
52721022,7.42,9200,71000325,157593.5984,618734.949,173.711,447,2405
53373005,4.56,9200,71000325,157324.4127,618435.2025,171.1981418,449,2738
52721585,5.25,9200,71000112,158656.5408,619681.0267,496.84995,317,1352
52712164,8.4,9200,71000242,160072.705,617668.155,176.41,450,2608
52712167,10.12,9200,71000416,160658.0144,622299.9492,309.694,872,4740
52714545,5.11,9200,71000424,159675.3292,621280.8873,144.50855,555,3306
52714546,5.85,9200,71000242,160395.6326,618022.443,449.9091335,470,2885
