BLDG_ID,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
51663420,4.700000000000000,5312.000000000000000,71000313.000000000000000,159056.899499999999534,618319.700300000025891,1779.319349999999986,329,1515
53183781,6.490000000000000,9200.000000000000000,71000223.000000000000000,161491.936599999986356,619679.011199999949895,2331.702000000000226,600,3877
51663713,7.479999080000000,5330.000000000000000,71000111.000000000000000,158926.506499999988591,619882.445799999986775,1507.942600000000084,280,1082
52408514,3.300000000000000,9200.000000000000000,71000425.000000000000000,159764.250499999994645,621028.646500000031665,266.527499999999975,550,3330
52407206,13.609999999999999,9200.000000000000000,71000221.000000000000000,160937.157299999991665,620289.597999999998137,507.042199999999980,559,3133
52408155,3.240000000000000,9200.000000000000000,71000111.000000000000000,158750.586299999995390,620111.200799999991432,61.590174470000001,326,1532
52408163,3.860000000000000,9200.000000000000000,71000122.000000000000000,158342.412600000010571,620403.577000000048429,368.621472499999982,553,2993
52407254,7.430000000000000,9200.000000000000000,71000425.000000000000000,159827.347100000013597,620897.360400000005029,267.792500000000018,572,3605
52405885,10.710000000000001,9200.000000000000000,71000122.000000000000000,158209.645500000013271,620405.100399999995716,150.478006999999991,442,2768
53316543,4.610000000000000,9200.000000000000000,71000123.000000000000000,158913.875000000000000,620483.605800000019372,236.943450000000013,460,2258
52405458,10.320000000000000,9200.000000000000000,71000112.000000000000000,158236.493799999996554,620306.141900000046007,594.826099999999997,402,2149
52405460,7.000000000000000,9200.000000000000000,71000111.000000000000000,158830.944199999998091,620197.043799999984913,233.963549999999998,367,1714
52405461,13.400000000000000,9200.000000000000000,71000221.000000000000000,160760.750599999999395,620093.571099999942817,548.851049999999987,656,3400
52405462,6.040000000000000,9200.000000000000000,71000112.000000000000000,158288.851800000004005,619867.870600000023842,200.662499999999994,345,1603
52405946,8.609999999999999,9200.000000000000000,71000221.000000000000000,160920.594299999997020,620095.356000000028871,650.787000000000035,541,3033
52405947,11.199999999999999,9200.000000000000000,71000221.000000000000000,161013.543600000004517,619863.399300000048243,318.587350000000015,502,2876
53315425,14.010000000000000,9200.000000000000000,71000221.000000000000000,160955.670899999997346,620234.407400000025518,559.743100000000027,536,3078
53316155,8.500000000000000,9200.000000000000000,71000112.000000000000000,158238.495300000009593,620196.094599999953061,329.341600000000028,396,2127
52405356,8.220000000000001,9200.000000000000000,71000112.000000000000000,158079.741999999998370,620220.859100000001490,595.570299999999975,379,2056
52412628,10.810000000000000,9200.000000000000000,71000111.000000000000000,158740.318999999988591,620258.168599999975413,152.282513999999992,409,1982
52407884,19.780000000000001,9200.000000000000000,71000123.000000000000000,159771.678400000004331,620527.656899999943562,433.857349999999997,462,2659
52403567,15.310000000000000,9200.000000000000000,71000123.000000000000000,159387.080599999986589,620306.727900000056252,1036.164449999999988,343,1787
52404445,5.000000000000000,9200.000000000000000,71000231.000000000000000,160518.716199999995297,620440.894699999946170,71.594650000000001,607,3066
53316374,27.440000000000001,9200.000000000000000,71000114.000000000000000,158058.074099999997998,619858.157899999991059,648.109950000000026,436,2384
52406274,8.960000000000001,9200.000000000000000,71000112.000000000000000,158374.969000000011874,620298.713800000026822,358.853999999999985,398,1922
52406315,6.000000000000000,9200.000000000000000,71000213.000000000000000,160514.922200000000885,620173.812500000000000,773.079660999999987,482,2707
52408107,7.710000000000000,9200.000000000000000,71000111.000000000000000,158739.560399999987567,620205.042699999990873,273.687149999999974,345,1644
