BLDG_ID_x,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
52924615,8.1,,11610010,177252.9509,588291.3594,145.5,1934,21178
52926015,8.1,,11610006,175434.481,588033.0777,167.9408,1931,24515
52930498,8.1,,7480001,160581.8966,581534.4739,253.7845,2039,27495
52932548,8.1,,10540001,186089.9763,573494.202,198.1338784,1106,8679
52935073,8.1,,6660001,185227.7499,575363.234,280.05845,830,6609
52951092,8.1,,7480001,161233.7967,582016.0666,72.555,1904,26533
52954100,8.1,,10540001,186461.4269,573424.1394,128.167588,1116,8847
52954764,8.1,,90000641,181494.8021,575736.1877,228.2399409,783,4639
52955316,8.1,,90000421,177117.0252,572639.0173,187.4583,714,4531
52966955,8.1,,90000421,177743.6708,572575.8337,222.1575,669,3858
52973074,8.1,,90000643,182383.7577,575479.747,183.00395,642,5832
52975803,8.1,,90000211,179547.7826,574507.0111,153.3545,675,3533
52976461,8.1,,10600001,187755.3716,581833.337,166.76421,1694,17623
52989218,8.1,,11610005,174977.5382,588532.1049,110.34735,1744,23034
52999615,8.1,,90000512,180040.3292,573491.9531,180.4855,405,1949
53012531,8.1,,90000111,180559.1063,575797.5833,130.2071,784,3780
53015453,8.1,,90000411,177869.8202,570886.6977,192.447443,723,4141
53048343,8.1,6520,90000621,181762.1108,570605.2783,1562.34,402,2666
53110199,8.1,,10600001,186538.624,581062.4728,214.14085,1902,19113
53146202,8.1,,90000112,179797.5326,575637.1542,119.8785,938,4931
53387400,8.1,,10600001,186937.2072,580874.9335,123.529,1867,18945
53402296,8.1,,12710001,182539.9976,586452.2359,152.43,1806,17794
53402950,8.1,,7890001,161625.0757,583221.0757,83.51199999,2010,27316
53410839,8.1,,10540002,186709.7507,573074.369,150.6900912,1150,8940
53422332,8.1,,12710001,182108.9245,587044.2618,199.60065,1696,16879
53425549,8.1,,90000644,181917.0532,576251.0561,152.47325,854,5406
53434058,8.1,,10540002,186945.6671,573567.8833,59.16388366,1228,9626
65270548,8.1,5000,90000642,181763.3915,575317.2049,137.565,780,4336
52788818,8.09,,12860001,184563.5441,567970.2666,115.8705,777,8454
52793086,8.09,,90000216,178925.7224,574509.9871,160.9895,756,3951
52802222,8.09,,90000211,179638.9908,574451.4796,346.413,657,3381
52806098,8.09,,90000643,182581.5693,575816.0459,245.70955,728,6371
52822288,8.09,5521,90000113,179837.2892,575474.7519,478.3331,869,4674
52822809,8.09,5521,90000521,180527.6894,573075.7241,298.58515,266,1194
52837600,8.09,,90000421,177578.6988,573578.2311,183.7055,683,3499
52838948,8.09,,6660001,185499.6042,575186.2704,188.9832016,856,6896
52853480,8.09,,13030001,192739.7352,579065.9194,202.9674614,1654,17941
52890987,8.09,,90000211,179032.9015,574674.3922,190.8588,777,4445
52912923,8.09,,11610004,174949.1013,589033.3672,428.1410463,1840,23526
52920740,8.09,,90000421,177354.8183,573292.5513,195.74215,802,4283
52923449,8.09,,11610001,177173.944,589907.8648,196.2691058,1863,20804
52927655,8.09,,10600001,187692.2764,581850.0696,197.7033787,1704,17675
52928671,8.09,,90000132,180056.3919,574712.0828,378.57995,752,3821
52933498,8.09,,90000521,180499.9792,572935.7475,348.2506,218,845
52933834,8.09,,10540002,186476.2352,573125.1106,255.1477979,1120,8941
52938985,8.09,,11610004,174929.5768,589091.3011,396.5194692,1867,23620
52938991,8.09,,11610003,175695.641,589160.7033,154.404975,1859,24144
52953958,8.09,,90000621,182168.3961,569694.5252,1676.337271,470,3849
52954279,8.09,,90000642,181740.1993,575259.8877,117.06155,768,4273
52975141,8.09,,12710001,182082.3051,586990.0785,226.613765,1715,16984
