statID,average_Csvalue,X,Y,settlement,civil_labour_force.LaborForceY_pcnt,jobs.industrialJobs,jobs.commercialJobs,jobs.publicJobs,jobs.homeJobs,intraSAProb,intraYeshuvProb,interYeshuvProb,inOutRatio,housingValue.avgPricePerM2009
700321,0,167054.5,632665.5,70,63,69.349517,113.611186,259.319136,4.739844,1.90E-05,0.000107813,0.020833333,0.555555556,7919.434597
700322,0,,,,,,,,,,,,,
700323,0,167438,632845.1,70,51.9,18.136362,82.60687,275.920831,0,2.97E-05,0.000148575,0.028199566,0.461538462,7582.488889
700332,0,168165.4,632508.3,70,57.2,0,56.948635,137.770723,0,1.46E-05,0.000116584,0.026595745,0.2,9616.091701
700341,0,167542,632045.3,,,0,0,0,0,,,,,
700342,0,,,,,,,,,,,,,
700343,0,166626.7,632261.6,70,65.3,17.672726,99.516252,391.850353,0,3.39E-05,0.000152678,0.027863777,0.444444444,9849.439126
700411,0,166262.9,631491,70,68.4,142.900607,422.546221,588.620279,28.010068,1.21E-05,0.000127288,0.026548673,0.416666667,9383.481954
700413,0,166685.4,631650.8,70,65.1,5.0444,44.807237,259.169457,0,2.08E-05,0.000145841,0.022813688,0.666666667,10026.70012
700415,0,165761.6,631062.7,,,0,0,0,0,6.46E-05,5.53E-05,0.023569024,2.714285714,10539.40486
700421,0,165865.3,632272.1,70,69.8,43.518546,150.221563,208.967942,53.248741,2.28E-05,0.000133181,0.025,0.5,9334.052022
700423,0,165484.8,632469.8,70,63,11.269262,32.841608,211.46493,14.718763,2.87E-05,0.000149023,0.025104603,0.583333333,8650.871717
700425,0,165156.9,632362.1,70,67.6,11.38,236.865383,695.325207,0,1.99E-05,0.00018929,0.030909091,0.411764706,8798.131132
700432,0,165333.5,631328.3,70,71.8,26.990397,149.968689,276.479825,18.002676,1.18E-05,0.000111946,0.030107527,0.357142857,8091.257962
720001,627233.4502,195527.8,706560.7,72,84.9,18.146,5.008,9.044,0,,,,,18185.51934
720001,627233.4502,195527.8,706560.7,72,84.9,738.598,784.334,262.582,0,,,,,18185.51934
720001,627233.4502,195527.8,706560.7,72,84.9,67.644,35.998,10.164,0,,,,,18185.51934
760001,627233.4502,253969.1,794162.2,76,83,15.003,2.088,18.682,0,,,,,
760001,627233.4502,253969.1,794162.2,76,83,144.964,275.395,331.305,14.204,,,,,
840001,627233.4502,237785.3,718022.9,84,85.3,632.319,33.482,68.804,5.115,,,,,
840001,627233.4502,237785.3,718022.9,84,85.3,0,0,0,0,,,,,
960001,92028.20702,207554.3,738580,96,90.8,730.163,447.342,601.757,5.277,,,,,
960001,92028.20702,207554.3,738580,96,90.8,157.927,92.384,160.813,1.495,,,,,
970001,627233.4502,229974.8,723274,97,68.3,85.652,71.208,38.681,0,,,,,7909.066469
990001,0,181027.8,503796.5,99,68,303.853,568.582,1280.846,4.151,1.00E-05,1.00E-05,0.008,0.1,4340.279286
1040001,627233.4502,227143.4,728504.5,104,79.4,6.388,0,18.161,0,,,,,3668.271853
1040001,627233.4502,227143.4,728504.5,104,79.4,198.612,205.754,463.538,17.097,,,,,3668.271853
1220001,627233.4502,,,,,,,,,,,,,
1330001,627233.4502,,,,,,,,,,,,,
1390001,627233.4502,,,,,,,,,,,,,
1430001,627233.4502,,,,,,,,,,,,,
1440001,9920.240278,,,,,,,,,,,,,
1540001,27854.73736,,,,,,,,,,,,,
1570001,27854.73736,,,,,,,,,,,,,
1600001,9920.240278,,,,,,,,,,,,,
1620001,27854.73736,,,,,,,,,,,,,
1660001,9920.240278,,,,,,,,,,,,,
1660003,9920.240278,,,,,,,,,,,,,
1680001,27854.73736,,,,,,,,,,,,,
1680002,27854.73736,193366.3,691806.4,168,62.7,33.541,252.269335,569.294975,0,8.18E-05,5.45E-05,0.044776119,2.833333333,7948.740418
1680003,27854.73736,,,,,,,,,,,,,
1710001,27854.73736,,,,,,,,,,,,,
1750001,27854.73736,,,,,,,,,,,,,
1760001,627233.4502,,,,,,,,,,,,,
1770001,9920.240278,,,,,,,,,,,,,
1820001,27854.73736,,,,,,,,,,,,,
1840001,9920.240278,,,,,,,,,,,,,
1870001,27854.73736,,,,,,,,,,,,,
1890001,627233.4502,,,,,,,,,,,,,
1900001,27854.73736,,,,,,,,,,,,,
1910001,27854.73736,,,,,,,,,,,,,
1950001,27854.73736,,,,,,,,,,,,,
1950002,27854.73736,194371.2,688501.1,,,0,0,20.90201,0,0.000185117,3.70E-05,0.013513514,61,10946.11791
1950003,27854.73736,,,,,,,,,,,,,
1950004,27854.73736,192236.1,686329.6,195,73.9,154.7236,500.898312,491.950727,61.487069,5.11E-05,5.57E-05,0.030508475,1,9656.735781
1950005,27854.73736,,,,,,,,,,,,,
2000001,27854.73736,,,,,,,,,,,,,
2040001,27854.73736,,,,,,,,,,,,,
2060001,9920.240278,,,,,,,,,,,,,
2170001,27854.73736,,,,,,,,,,,,,
2290001,9920.240278,,,,,,,,,,,,,
2290002,9920.240278,187777.9,662703.9,229,67.3,16.822701,394.637023,171.714216,22.791124,3.33E-05,0.000116584,0.054711246,0.888888889,11588.81936
2290003,9920.240278,,,,,,,,,,,,,
2320001,27854.73736,183596.5,680459.8,232,70.2,421.343,1668.581,498.1,105.189,,,,,21236.70191
2320001,27854.73736,183596.5,680459.8,232,70.2,10.11,0,49.142,0,,,,,21236.70191
2330001,27854.73736,190673.9,694685.9,233,81.9,122.459,68.284,19.131,5.109,,,,,15435.47873
2350001,27854.73736,187294.2,696359.4,235,84.7,33.83,97.268,117.665,0,,,,,17130.9126
2400001,627233.4502,,,,,,,,,,,,,
2400002,92028.20702,,,,,,,,,,,,,
2400003,627233.4502,210063.3,729075.3,240,60.8,55.222225,183.68964,112.778752,0,5.48E-05,8.22E-05,0.04,0.625,5705.410611
2400004,627233.4502,209345.6,728412.6,240,65.9,0,55.288614,49.904706,0,7.01E-05,7.55E-05,0.031496063,0.8125,6841.455078
2400006,627233.4502,208706.3,726999.3,240,79.9,9.223,88.687499,68.288472,0,2.18E-05,6.55E-05,0.025896414,0.923076923,8032.179084
2420001,627233.4502,,,,,,,,,,,,,
2460001,0,,,,,,,,,,,,,
2460002,0,,,,,,,,,,,,,
2460003,0,161894.6,592605.1,,,1233.498995,1054.303601,274.052861,0,,,,,5523.606903
2460004,0,160748.8,592251.8,246,57.6,0,1.005146,12.987268,0,2.25E-05,0.000134741,0.027322404,0.8,5034.345804
2460005,0,160371.4,592876,246,47.8,0,0,66.405275,0,5.20E-05,6.36E-05,0.029535865,0.714285714,6745.961982
2460006,0,160109,592299.7,246,57,3.312096,0,135.682103,0,4.83E-05,6.97E-05,0.021526419,1.272727273,5084.757527
2460007,0,159890.2,591783.1,246,66.4,0,0,275.124988,26.475809,3.78E-05,8.97E-05,0.025862069,0.866666667,
2460008,0,,,,,,,,,,,,,
2470001,27854.73736,183621,678623.6,247,77.4,288.081,701.906,102.962,29.973,,,,,23473.63982
2490001,9920.240278,193010,664933.1,249,65.7,99.819,76.193,89.864,13.159,,,,,
2550001,627233.4502,247419.5,745144.3,255,71.4,9.429,2.486,40.678,0,,,,,8951.6465
2560001,627233.4502,,,,,,,,,,,,,
2570001,9920.240278,192672,661168.5,257,63.7,13.05,21.581,1.953,0,,,,,7142.64212
2630001,627233.4502,256397.4,732199.8,263,82.9,35.196,17.507,18.386,0,,,,,
2670001,0,183310.6,677015.5,267,60.2,83.39,368.777,261.2,54.001,,,,,23762.08855
2690001,627233.4502,241642,721382.2,269,75.8,131.995,41.887,85.191,1.851,,,,,9122.098357
2730001,627233.4502,260175.5,743199.9,273,82.3,49.612,326.449,139.186,1.484,,,,,3043.288037
2760001,27854.73736,,,,,,,,,,,,,
2820001,627233.4502,,,,,,,,,,,,,
2840001,9920.240278,,,,,,,,,,,,,
2850001,627233.4502,213902.5,736120,285,69.3,173.866,405.967,136.482,0,,,,,
2880001,27854.73736,,,,,,,,,,,,,
2890001,627233.4502,209364.1,756501.1,,,643.714,833.78,246.223,6.293,,,,,
2930001,0,169443.2,617089.2,293,90,15.094,66.574,11.163,0,,,,,7546.184656
2980001,627233.4502,244800.8,711308.8,298,69.2,116.425,28.834,176.334,0,,,,,
3020001,627233.4502,259919.6,792813.6,302,86.3,104.229,111.891,319.313,0,,,,,1700.587187
3040001,627233.4502,248540.4,705199.4,,,156.092,119.314,314.868,0,,,,,
3080001,627233.4502,253630.6,766057.1,308,85,148.633,175.318,99.052,0,,,,,1976.858578
3090001,0,172120.7,614623.8,309,66.1,29.137,28.088,154.974,8.685,,,,,9360.050477
3100001,627233.4502,200651,712392.4,310,77,102.196,56.044,49.932,0,,,,,
3150001,0,169947.3,618929.2,315,92,301.476,156.331,79.598,2.085,,,,,3429.229423
3160001,27854.73736,188116.9,686904.8,316,77.9,191.568,618.212,128.238,16.865,,,,,15608.93297
3180001,0,144066.9,573263.9,318,68.5,98.177,37.214,78.528,6.138,,,,,
3240001,627233.4502,260688.8,792395.4,324,82.8,28.725,29.07,28.967,0,,,,,6483.622351
3260001,27854.73736,189928.9,693413.9,326,67.5,466.464,385.556,269.094,70.184,1.00E-05,1.00E-05,0.019323671,0.1,13223.78309
3270001,627233.4502,190141.3,710920.6,327,73.2,360.854,170.62,219.218,0,,,,,11411.09941
3310001,9920.240278,187167,651114.9,331,72.1,563.169,371.86,90.205,14.076,,,,,7311.390909
3360001,0,166360.9,601724.8,336,85.5,375.144,82.069,129.804,0,,,,,
3400001,0,180568.5,615124.3,340,76.5,289.478,84.597,76.194,0.694,,,,,4744.628608
3430001,627233.4502,249101.4,714065.4,343,54.2,71.599,8.963,25.938,0,,,,,2491.966458
3440001,627233.4502,202868.9,706957.9,344,68.1,265.445,46.953,127.9,10.643,,,,,3873.952939
3480001,0,160140.8,603247.1,,,4.64,9.508,61.333,0,,,,,
3480001,0,160140.8,603247.1,,,79.708,120.442,393.961,0,,,,,
3620001,0,172057.2,600717.8,362,80.1,174.468,32.607,114.726,6.67,,,,,
3650001,627233.4502,237203.4,736067.6,365,70.1,213.507,79.865,313.848,0,,,,,
3650001,627233.4502,237203.4,736067.6,365,70.1,88.412,140.042,75.101,1.09,,,,,
3680001,627233.4502,247104.6,764801,368,67.5,21.545,14.024,10.078,0,,,,,6459.908861
3710001,627233.4502,238270.3,734645.3,,,14.945,0,10.075,0,,,,,
3740001,627233.4502,246666.8,753912.4,,,109.558,38.151,29.48,0,,,,,6211.351166
3780001,627233.4502,251518.5,794746.1,378,80.6,283.915,133.855,66.097,2.277,,,,,3300.358826
3790001,27854.73736,195020.1,689386.6,379,75.6,220.25,94.683,19.703,0,,,,,8711.221782
