locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt.1,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
25600001,0,0,65.2,91,2.3,1.6,3.3,2.8,6.4,48.5,7.7,40.7,30.7,3.2,20.9,30.5,14.2,10.6,8.9,5.1,9.9,,26.8,24.6,14.3,10.5,23.8,1813,396,652,1882,946,86500,10.2,10.6,15,12.7,10,10.1,14.6,8.6,5.8,2.4,ערד,1,31,,,0.351
25600002,0,0,57.6,89.45,5.5,6.4,3.4,3,7.5,32.9,5.6,32.3,32.1,2.5,38.4,22.8,15.1,9.4,6.5,4.2,3.6,,23.1,32.6,20.3,13.4,10.5,1424,245,756,1458,689,69000,15.21521522,14.61461461,14.81481481,13.21321321,11.21121121,11.11111111,7.607607608,7.807807808,2.702702703,1.701701702,ערד,1,31,,,0.306
25600003,0,0,65.5,84.6,3.4,2.9,3.9,4.3,8.4,50.5,8.8,44,27.2,2.8,27.2,29.4,12.2,13.4,10.8,3.8,3.3,,36.5,28.1,21.3,6.8,7.3,2144,309,1051,2040,816,84300,9.4,13.9,13.5,13,10.9,8.9,8.3,11.8,6.9,3.4,ערד,1,31,,,0.327
25600005,0,0,60.6,86.15,2.5,3.2,3.7,1.7,6.1,50,17.7,37.4,29.5,2.9,29.4,26.6,10,13.1,8.9,6.3,5.6,,21.9,32.8,22.4,8.8,14.1,962,244,482,1037,475,85000,12.58741259,15.28471528,6.593406593,14.08591409,10.98901099,8.391608392,9.99000999,9.390609391,6.993006993,5.694305694,ערד,1,31,,,0.376
25600006,0,0,65.3,83.15,2.7,1.6,3.3,2.8,5.2,70.8,19.4,36.4,29.2,3,26.1,24,20,10.3,8.6,3.8,7.3,,36.7,19.3,18,8.4,17.5,2053,493,809,2307,977,92400,11.71171171,9.409409409,14.31431431,9.70970971,8.108108108,8.608608609,14.91491491,10.91091091,6.406406406,5.905905906,ערד,1,31,,,0.343
25600007,0,0,59.7,89.45,1.4,1.1,3.9,1.4,5.1,52.7,12.4,39.5,33.8,3.3,27.5,24.3,11,11.7,6.8,6.6,12.1,,21.7,25.3,13.2,12.3,27.5,901,173,336,791,345,87900,10.5,15.2,10.7,10.7,12.2,11.5,7.6,10.2,8.5,2.9,ערד,1,31,,,0.334
