ParamVaried,wservice_old,wservice,eld_movef,svc_filter,PopChange_E,PopChange_NE,PopPctChange_E,PopPctChange_NE,SAServiceAvg_E,SAServiceAvg_NE,SAServiceDelta_E,SAServiceDelta_NE,BldServiceAvg_E,BldServiceAvg_NE,BldServiceDelta_E,BldServiceDelta_NE,NormAssetsCity_Avg_E,NormAssetsCity_Avg_NE,NormAssetsCity_Delta_E,NormAssetsCity_Delta_NE,NormAssetsSA_Avg_E,NormAssetsSA_Avg_NE,NormAssetsSA_Delta_E,NormAssetsSA_Delta_NE,AttemptSA_Avg_E,AttemptSA_Avg_NE,AttemptSA_Delta_E,AttemptSA_Delta_NE,AttemptCity_Avg_E,AttemptCity_Avg_NE,AttemptCity_Delta_E,AttemptCity_Delta_NE,SuccessSA_Avg_E,SuccessSA_Avg_NE,SuccessSA_Delta_E,SuccessSA_Delta_NE,SuccessCity_Avg_E,SuccessCity_Avg_NE,SuccessCity_Delta_E,SuccessCity_Delta_NE,Replicate
wservice_old,0.25,0.25,1,1,94.0,153.0,2.341803687095167,1.1361104923145466,0.6672729071698751,0.6947306770506192,0.597770055386003,0.5867336020425227,0.8753952031686617,0.8124959779800903,0.868946125741044,0.7370022001872687,881.6246758089943,445.90650735186875,-5779.0,-3883.0,46.37100524707255,112.06503925143954,-655.023311897106,-1848.0,0.004987647946471279,0.003967751860077966,0.0,-4.0927079424544994e-05,0.0017677917418811677,0.00211130985606107,-0.0004982561036372695,0.00021859601983507406,0.07002791910703439,0.08247852045619654,-0.7508038585209004,-1.0,0.0890862757728318,0.07319975175787397,-1.0,-1.0,1
wservice_old,0.25,0.25,1,1,76.0,169.0,1.8947893293443032,1.25529228255218,0.6644630417669724,0.6883399168577913,0.5929102953089851,0.5788013404410663,0.8640466291311032,0.7983158888391254,0.8536059011132571,0.7192896128596074,857.8102161901664,546.9342809633163,0.0,-1121.0,61.48451378462496,62.591058835637135,-850.5,0.0,0.00528632202289603,0.0041364747361774335,0.0,0.00019834628587535357,0.0017411700210813322,0.0021112726975210947,-4.636137336296335e-06,0.00022007042253521127,0.07866101247888439,0.05037619673604308,-1.0,0.0,0.07602433622485301,0.07168651003945122,0.0,-0.5,2
wservice_old,0.25,0.25,1,1,90.0,155.0,2.244948865053629,1.1513890952310206,0.6725845819303145,0.7005314138217686,0.6056120798461813,0.5956273227410859,0.8752453269694024,0.8124110439202582,0.8734025678173007,0.7406627335790543,341.55949079256027,528.6267674833656,0.0,-3779.0,141.76652664729116,51.93717850356424,-2530.0,0.0,0.005122855822649865,0.004071556999823603,-7.079625212655912e-05,-3.95912440355607e-05,0.0018350552356178635,0.0020699301567813876,0.00024396194193705782,-0.00022369505499076457,0.0939911223206031,0.03434461059690943,-1.0,0.0,0.050220671933487726,0.07945004742764566,0.0,-0.5,3
wservice_old,0.5,0.25,1,1,87.0,146.0,2.171200399301223,1.084051084051084,0.6554706882897027,0.6895719222858959,0.5856545243975912,0.5830434387551139,0.8517657116707497,0.7927013415588092,0.8442502901501799,0.7163670335327051,543.4649834241258,434.3630654696958,-8598.115264797509,-5971.571428571428,32.302053750441594,52.693481273636095,-645.9928797468355,0.0,0.005074833601028142,0.004061450591408388,0.00026041666666666666,-9.110106041178848e-05,0.0018183804556979894,0.002130506316207328,0.0002442598925256473,-0.000299389127066518,0.04608010913267358,0.0318727165787669,-0.7468354430379747,0.0,0.06990221067186433,0.06934427201049542,-0.956386292834891,-0.8571428571428571,1
wservice_old,0.5,0.25,1,1,84.0,145.0,2.094240837696335,1.0769459298871065,0.6656468137857401,0.6981676055434634,0.5940248519010887,0.5901846283508924,0.8615991819643375,0.8049568072688799,0.8516417995582894,0.7274050171115263,612.7412513255567,404.4311529675968,-7385.0,-4504.0,39.23062617948343,81.07742868726137,-162.0,-1281.5,0.005481768463728015,0.0043837234451457015,0.00010179153094462541,0.0,0.0018468783018644036,0.002219090468034462,0.0002442002442002442,0.0002931317907782445,0.08122297198487476,0.06667538013860144,-1.0,-0.5,0.07149263328896009,0.07620017578323336,-0.5,-1.0,2
wservice_old,0.5,0.25,1,1,75.0,156.0,1.8693918245264207,1.1584731917421656,0.696068421407364,0.722235693001974,0.6333437989632085,0.621931308667137,0.9085814226644443,0.8355224203179904,0.9095857459332165,0.7660901114235906,730.2096799533172,559.949870549987,-10990.0,-773.0,119.42430427653352,74.91475230508568,-2566.0,-680.0,0.005072472327344042,0.004063082193845048,-6.089046211801384e-05,-0.00012254901960784314,0.0018532492863210597,0.002172846070731157,0.00024467824810374357,7.256021642068553e-05,0.1044045565296785,0.0662488766083709,-1.0,-1.0,0.08853210260428143,0.0896487396150512,-1.0,-1.0,3
wservice_old,1.0,0.25,1,1,84.0,172.0,2.095808383233533,1.277101277101277,0.6635842875515076,0.6881130478295462,0.5925548168930449,0.5789888929275971,0.8610647481661582,0.8053903765496244,0.8518379415803176,0.7278579174003754,979.5515590899578,604.2029491779676,-13948.0,-14214.0,41.14392581813719,60.904177654633976,-86.0,0.0,0.004976401100726687,0.003960201730966407,0.0,0.00010546518698692611,0.0016781775749455873,0.0020714718614523718,-5.121721366650842e-06,0.0001456912747235328,0.11132138308348304,0.029851409132890486,-1.0,0.0,0.1123852731023349,0.06485243340977369,-1.0,-1.0,1
wservice_old,1.0,0.25,1,1,88.0,161.0,2.195061112496882,1.1961367013372957,0.6299033379362659,0.6548566599589647,0.551854066947578,0.5397866740541098,0.8237129795017551,0.7642260737101063,0.8054339848071701,0.6784968893651041,1050.9610298458392,614.6426819547181,-15533.0,-10991.5,29.50019771331895,147.23992993544272,0.0,-2256.5,0.0047035431065592615,0.0038107437346679273,0.0,-6.315041276109396e-05,0.0016202049947023748,0.0020292210315939374,0.0,0.0001450757848890136,0.040650244366800155,0.07246921406558728,0.0,-1.0,0.09927288117428874,0.08738424531559967,-1.0,-1.0,2
wservice_old,1.0,0.25,1,1,95.0,150.0,2.3696682464454977,1.1144130757800892,0.6675062620800554,0.6979741009294799,0.6007897429207396,0.5930956686210056,0.8849469920384788,0.8132975647824923,0.8824691275769677,0.7408145038176543,713.6769153152585,610.9573717570503,-12291.25,-6507.166666666667,131.42249668446422,94.99773146220807,-1892.5,-1768.0,0.005038267355451961,0.004010177041505993,0.00019597581355231718,0.00010056667084763261,0.0020307537099842695,0.0022931558217691296,0.0004873294346978557,-7.838830158315985e-05,0.09667049293763583,0.05822560017402328,-1.0,-0.8,0.0944462515856348,0.07807247387180208,-1.0,-0.6666666666666666,3
wservice_old,2.0,0.25,1,1,81.0,137.0,2.018440069773237,1.0172260172260172,0.6862431973880626,0.7096072306792839,0.6205427298172297,0.6057732880642461,0.8987068409166109,0.8219031358666465,0.8966752966143179,0.7492138567373159,843.5333479879065,531.263857559738,-12484.0,-3955.0,37.41719779867473,97.73726491937371,-685.0,-736.5,0.005060008941692431,0.004017366857135501,0.00010146103896103897,3.6029336331078415e-05,0.0019495110240499982,0.0021544273034537847,0.00023932965298052456,0.0002925141844656729,0.053288687050362354,0.049267924520116996,-1.0,-0.5,0.07092498794718835,0.07074503205234368,-1.0,-0.5,1
wservice_old,2.0,0.25,1,1,87.0,175.0,2.167954149015699,1.2997623291740938,0.6657838243576455,0.6894164885991744,0.5961772337851406,0.5807777426377077,0.8671624028619149,0.806236525249688,0.8615392692270462,0.7314297308089044,728.5147465904614,549.1340230187225,-12564.0,-774.0,24.31915345369843,23.292313033855937,-663.0676213206046,0.0,0.0050045992116006695,0.004088941614383116,0.0,2.667520273154076e-05,0.0017696234985837573,0.0021278047285166494,-0.00024919013207077,0.00014568534179252576,0.03420049914445696,0.016448923420870613,-0.7645186953062848,0.0,0.07552950829214126,0.07442036065065735,-1.0,-1.0,2
wservice_old,2.0,0.25,1,1,91.0,160.0,2.2681954137587237,1.1884423976825373,0.6484944088091794,0.6739431731327948,0.5743748963986085,0.5617926614836093,0.8429765056247588,0.7788681363881855,0.8289389379441947,0.6965663724517718,1145.5958134329535,643.4592502619315,-12270.666666666666,-1123.5,28.27881964887866,70.22549818159519,-638.7770700636943,0.0,0.004771336387365615,0.003920352318865723,0.0,0.00017330865263942864,0.0017890319700173687,0.0021153250512960355,-0.0005040326254966517,0.00021847105278179174,0.04095066370497243,0.04396267381941445,-0.7476114649681529,0.0,0.09737236172191485,0.08232907324516098,-1.0,-0.5,3
