ParamVaried,wservice,eld_movef,svc_filter,GroupCount,mean_PopChange_E,mean_PopChange_NE,mean_SAServiceAvg_E,mean_SAServiceAvg_NE,mean_SAServiceDelta_E,mean_SAServiceDelta_NE,mean_BldServiceAvg_E,mean_BldServiceAvg_NE,mean_BldServiceDelta_E,mean_BldServiceDelta_NE,mean_NormAssetsCity_Avg_E,mean_NormAssetsCity_Avg_NE,mean_NormAssetsCity_Delta_E,mean_NormAssetsCity_Delta_NE,mean_NormAssetsSA_Avg_E,mean_NormAssetsSA_Avg_NE,mean_NormAssetsSA_Delta_E,mean_NormAssetsSA_Delta_NE,mean_AttemptSA_Avg_E,mean_AttemptSA_Avg_NE,mean_AttemptSA_Delta_E,mean_AttemptSA_Delta_NE,mean_AttemptCity_Avg_E,mean_AttemptCity_Avg_NE,mean_AttemptCity_Delta_E,mean_AttemptCity_Delta_NE,mean_SuccessSA_Avg_E,mean_SuccessSA_Avg_NE,mean_SuccessSA_Delta_E,mean_SuccessSA_Delta_NE,mean_SuccessCity_Avg_E,mean_SuccessCity_Avg_NE,mean_SuccessCity_Delta_E,mean_SuccessCity_Delta_NE,std_PopChange_E,std_PopChange_NE,std_SAServiceAvg_E,std_SAServiceAvg_NE,std_SAServiceDelta_E,std_SAServiceDelta_NE,std_BldServiceAvg_E,std_BldServiceAvg_NE,std_BldServiceDelta_E,std_BldServiceDelta_NE,std_NormAssetsCity_Avg_E,std_NormAssetsCity_Avg_NE,std_NormAssetsCity_Delta_E,std_NormAssetsCity_Delta_NE,std_NormAssetsSA_Avg_E,std_NormAssetsSA_Avg_NE,std_NormAssetsSA_Delta_E,std_NormAssetsSA_Delta_NE,std_AttemptSA_Avg_E,std_AttemptSA_Avg_NE,std_AttemptSA_Delta_E,std_AttemptSA_Delta_NE,std_AttemptCity_Avg_E,std_AttemptCity_Avg_NE,std_AttemptCity_Delta_E,std_AttemptCity_Delta_NE,std_SuccessSA_Avg_E,std_SuccessSA_Avg_NE,std_SuccessSA_Delta_E,std_SuccessSA_Delta_NE,std_SuccessCity_Avg_E,std_SuccessCity_Avg_NE,std_SuccessCity_Delta_E,std_SuccessCity_Delta_NE
eld_movef,0,0,0,5,-56.6,-369.4,2.3870450295826022,0.5790588547311781,0.8720525924403759,1.0281897346681435,0.8627328156950608,0.829242232,1.123275724,1.038512544134002,767.1250013308766,1357.579929,,-1548.285714,72.84481148879016,83.90751929247978,,0,0.002226731,0.002427627,0,-3.17E-06,0.001459142,0.001878375,0,4.910803817660717e-05,0.3454953508405104,0.3418826211010678,,0,0.5062329000215544,0.5978229743378708,,-0.578571429,15.043270920913443,46.90735549996396,0.015343041,0.009428702,0.041244677521306984,0.028740696,0.017092276054670813,0.013549866279117478,0.028387306,0.023677401,160.5778229,34.02209590527545,,1191.2133049790802,12.976097822183721,15.19515081228462,,,7.835882064150386e-05,3.297551074650594e-05,0,6.33978723674035e-06,7.92689519260832e-05,2.050460124302381e-05,0,9.763707685458385e-05,0.062585611,0.032351184,,,0.059243086,0.007840017,,0.3878249131570922
eld_movef,0,0.25,0,5,-58,-377.4,2.3866587737771803,0.5771016228923296,0.8714184869151342,1.0279530665848629,0.864211688,0.8288307256497992,1.124221829,1.035723603,1057.9870870970567,1273.342856849328,-3080,-1327.975758,72.51528685668848,67.97155302720145,,-131.125,0.002206546,0.002396754,-1.39E-05,-5.73E-05,0.001504981,0.001880901,-4.86E-05,-1.03E-05,0.3476373063477906,0.3174298697694988,,-0.25,0.548776405,0.5720350158377994,-1,-0.681212121,8.803408430829505,57.543896287964365,0.014047288111606033,0.010139474144773042,0.034278804,0.029571219022678757,0.017439650547129006,0.011694598451611016,0.033756714,0.023013877,267.5157046442511,43.453479153747445,,1156.8615668076518,19.11183195330108,8.777016771825963,,159.58402958942978,5.7353047042618164e-05,3.829582016941797e-05,3.1192968926550744e-05,8.117820223630796e-05,6.170787837934444e-05,6.488318408278319e-05,0.000111193,0.000105117,0.08795798,0.040198787,,0.28867513459481287,0.066552771,0.011349630422605452,,0.29093592047997086
eld_movef,0,0.5,0,5,-74.6,-411.6,2.3881530370809676,0.5788814228660852,0.8756336248992312,1.036433292137132,0.8683500365532761,0.834731411,1.133894758722126,1.051421134524798,1060.1772711657243,1351.106089457626,,-2569.37,75.60376328,77.17452985031204,,0,0.002181786,0.002425536,0,-2.49E-05,0.001521003,0.001882966,0.000453683,5.3084591660105846e-05,0.3307978543708952,0.33918975403711304,,0,0.5514753059014026,0.5849793524139302,,-0.861111111,17.92484309554759,14.690132742763087,0.008212561,0.0054647,0.022601790833979982,0.012308262840316454,0.006903036,0.005917257,0.014880016610050789,0.00913755,244.6595379871456,54.597196774694446,,488.4118451549398,11.403615832278444,8.206374989372794,,,4.2754494543839485e-05,2.6196139243974625e-05,0,3.560198472940051e-05,3.4016587891341464e-05,8.720094208067484e-06,0.000627176,0.000143407,0.040391325778906986,0.018175096,,,0.039240444,0.008429823,,0.14958791130929167
eld_movef,0,0.75,0,5,-88.6,-412.8,2.385160647163212,0.5748732048367045,0.8695692785229479,1.022328252198178,0.8577992168318435,0.8275735320369257,1.112883540625082,1.035136213317502,1065.476349532812,1386.7733286692142,-2536.666667,-2928.626667,95.57385979485403,77.57199469,,-339.8333333,0.002187276,0.002416276,0,-4.30E-05,0.001617425,0.001895753,-4.61E-05,5.330421285441713e-05,0.3564922491567306,0.3575049546009266,,-0.5,0.5494877339082487,0.5948634654566363,-1,-0.876666667,5.4129474410897425,50.62311724894072,0.012912921661233446,0.007236867,0.030663471487512733,0.020851509,0.017501226,0.009945654,0.026343490839883583,0.015865369,328.9663256437501,75.76219299108978,254.08703670636345,373.5634033645882,31.385078888928415,18.050379284781332,,476.1072183167709,2.2983136473453408e-05,1.8466364826044123e-05,0,4.159470759938109e-05,4.229644629477941e-05,2.308782821425027e-05,0.000272247,9.850675084826245e-05,0.069287309,0.030278866,,0.5,0.059686301,0.003255839,0,0.11642832797715322
eld_movef,0,1,0,5,-88.8,-398,2.384221969567876,0.5758425752593632,0.8609230964785398,1.0236680752167833,0.8594036375631378,0.8301055127513599,1.11804686,1.0415256497413141,1110.6127716363012,1358.160875603142,-3037,-1986.794286,79.14548850022132,82.05349282896893,0,-250.1111111,0.002213502,0.002412881,-0.000185504,-1.88E-05,0.001672718,0.001878465,0.000105829,1.4893675272927356e-05,0.34389002742752084,0.351371285,0,-0.444444444,0.5712787723677611,0.5854854638650131,-1,-0.782857143,4.38178046,55.61924127,0.006808557,0.008895381,0.01856767,0.025039770364531536,0.013377788,0.013726466068114115,0.021550167045759194,0.027562118368712956,67.83523815347363,40.96293668772694,2336.2808050403532,653.9242405723795,18.81198053852505,10.07434889,,231.1940823284707,3.677575707814422e-05,4.2812053739271275e-05,0.000377021,2.6619235707329913e-05,6.932190094317626e-05,3.4741622019857054e-05,0.000337119,0.00013132,0.042541704,0.026317723001501855,,0.5091750772173156,0.043750499064929615,0.009463087,0,0.2479302074276188
svc_filter,0,1,0,5,-97.2,-424.2,2.3867661729452303,0.5792664286820196,0.864699288,1.0338224276275798,0.8589707001847284,0.832482962,1.116423509549952,1.042637820189044,966.0540288064367,1331.167649856766,-548.5,-2329.552758,62.30459967,73.42190310361423,,-40,0.002188605,0.002413832,-1.39E-05,-3.41E-05,0.001701698,0.001902128,-9.52E-05,1.644098399560813e-05,0.31375747460319336,0.35299714868025445,,-0.083333333,0.5675748018026557,0.5885153367795402,-0.5,-0.76021756,6.610597552415364,36.458195237833706,0.010102932391586031,0.008960863,0.031780833,0.024304476,0.011941850730530496,0.007869764,0.018550549385296634,0.014491464629312046,105.7679472867313,28.63894309346853,775.6961389616426,829.0102092000332,14.369963651050377,12.310641713629762,,80,3.446785608135938e-05,2.667282064410138e-05,3.1192968926550744e-05,3.283075664671759e-05,4.108298498233821e-05,2.681481176160181e-05,0.000286794,0.000133768,0.031843152,0.016728719960225086,,0.1666666666666665,0.03538832,0.007410978,0.7071067811865476,0.17254806412950316
svc_filter,0,1,1,5,-114.4,-400.6,2.388601778955786,0.5770545700511586,0.8714699198503173,1.02920517,0.8610193637688196,0.8305908116671533,1.122290957046026,1.0408816577228819,987.7552156694746,1373.625184278762,-1094,-3046.685,43.91801781078734,67.34758643,,-120.25,0.002286865,0.002399994,-0.0003367,-2.08E-05,0.001946433,0.001856131,0.000162529,5.9352780564331816e-05,0.2660424538909094,0.3293537740189216,,-0.25,0.538277782,0.5853141026776374,-0.5,-0.841666667,11.058933040759403,46.09012909506763,0.015145488410588645,0.005149973,0.030171615920671146,0.020340459,0.013283053829202546,0.009268679,0.024000748,0.016668229352237295,156.45207244177297,69.04438233832265,1241.0152429899213,1094.498961797132,13.492949210471682,7.331450480785536,,240.5,0.000128819,2.985660550993097e-05,0.000752885,2.0063274552805086e-05,3.9635935380863445e-05,2.8628029475446353e-05,0.000381172,0.000124808,0.006384386,0.023070342053188173,,0.5,0.026288388476622047,0.003624831,0.40824829,0.16244657241348273
wservice,0,1,0,5,-100.8,-427.8,2.3896448553252503,0.5798378175701724,0.8765007719778339,1.038670952803608,0.857516381,0.8360154917359628,1.114254516,1.049393565917856,1091.2118521141285,1370.462584105448,-2162.75,-1966.192857,77.48200374,74.09036403605137,,-107.1666667,0.002204494,0.002401355,-1.39E-05,-5.06E-05,0.001691401,0.001905042,0.000106486,5.362225622580096e-05,0.323079671,0.3339623586556052,,-0.266666667,0.5437705855068178,0.5881121199088608,-1,-0.792380952,17.426990560621764,34.67275587547087,0.012816866064870884,0.011380588542614974,0.045396658572288244,0.0352812,0.011912512,0.015934795,0.021053932258390515,0.029834821331240016,84.95493556974326,46.152952226715065,1555.0346995056627,1019.6161947977664,24.962727285292342,18.93806902773399,,239.44565609386657,7.066290695744791e-05,4.375991190945628e-05,3.1192968926550744e-05,3.8946837481897283e-05,8.116877348427288e-05,3.527988714482625e-05,0.000137336,0.00011931,0.030255474894759674,0.025433349734652864,,0.4346134936801766,0.056164592607937776,0.013223177841269328,0,0.16304222287465703
wservice,0.25,1,0,5,-76,-405.4,2.423211188,0.5793036547244512,0.923047262,1.036148684622902,0.8575704220626312,0.8319711553829064,1.1152005716295998,1.044687581724164,1150.5081984909789,1328.386954,-1414.5,-2160.43039,67.06250358562401,73.76052767158065,,-80,0.002425143,0.002406005,0,-1.72E-05,0.001694749,0.001881549,0.000207316,-4.08E-05,0.31995196164808276,0.34237827706437224,,-0.166666667,0.5828101897090139,0.5880201595292707,-0.5,-0.748311688,15.016657417681207,71.85610621234636,0.008287339,0.005640341,0.020541735118283548,0.019629485,0.009937055,0.008291495,0.015293148700822608,0.015489391942994722,102.91122155847665,81.94195991909748,,194.45137243285032,17.109405266799108,15.88820931199699,,138.5640646055102,4.259055174558741e-05,3.727185731157125e-05,0,1.6032925504820254e-05,8.32146231368918e-05,3.86096831316384e-05,0.000551597,9.593600600862721e-05,0.062308351,0.022203973,,0.2886751345948129,0.030668832,0.010671108599528387,,0.14939694370026202
wservice,0.5,1,0,5,-70.2,-370.6,2.424374829280854,0.5745508544213896,0.9225051965171044,1.0218207569234594,0.8540933503717959,0.8276221252820676,1.1069146161091439,1.036132322058004,1265.653219989426,1348.828155,-1188.4,-2434.655556,79.99628790127747,88.46193063256784,0,-153.75,0.002411773,0.002402136,-0.000121433,-2.54E-05,0.001658275,0.001859928,0.000356632,8.414861095547838e-05,0.2987529126861166,0.3658970326710476,0,-0.25,0.5598666719771832,0.5803332734000884,-0.4,-0.9,16.34625339336204,49.34875884964078,0.005410796,0.006924867,0.020743858261235232,0.020968397192792098,0.015820621043553054,0.008134965,0.023703669424983705,0.018517131917749452,135.06335696800772,63.825060371142946,1684.0239903279287,755.9939867649009,9.494245672788752,10.192810783974915,0,217.43533521486336,6.022374830490434e-05,2.5487148107616895e-05,0.000271532,3.166571932372268e-05,6.51482380013848e-05,2.0403027556646914e-05,0.000550484,0.000173894,0.046415503,0.03339163,0,0.3535533905932738,0.021732729457984386,0.012719854939098958,0.5477225575051661,0.1490711984999859
wservice,1,1,0,5,-64.8,-387.6,2.428857001761008,0.5774170424361642,0.9299020098119428,1.0242357563276798,0.8625986200654076,0.8320609451595603,1.120743699935008,1.039802555,1234.197382519014,1370.173153859704,-4689,-2617.38,76.23264013418402,79.57721288642217,,0,0.002440663,0.002415939,-2.79E-05,-5.40E-06,0.001638488,0.001877611,0.000155201,4.6173238867623875e-05,0.32575094647303676,0.3452305071729044,,0,0.578920749,0.587975492,-1,-0.798888889,13.367871932360812,30.533588062984023,0.007913536,0.007375005,0.023034453166822535,0.021134513447719615,0.004977485,0.009321623,0.010648198,0.016067183502019303,164.0284338728386,110.99465547669536,,1144.0244372268548,18.99485404362759,11.800791656184888,,0,1.812327652534869e-05,3.830398637745873e-05,3.820342871627022e-05,7.420824879097529e-06,3.2435098375426366e-05,2.1739509235896306e-05,0.000822235,0.00013986,0.049850511,0.034349801,,0,0.040525141,0.013657398117321227,,0.12325322723844333
wservice,2,1,0,5,-80,-436.4,2.4301143174519497,0.5785451281915058,0.933894771,1.0350230469014259,0.8608470600104544,0.8333147780921127,1.1246167762746482,1.0500080111444707,1404.01939,1343.156865190118,-4689,-2384.81875,74.85899158185542,81.10459293956947,,-136.8,0.002434793,0.00238798,0,-3.78E-05,0.001717192,0.001901161,5.272220158145359e-05,1.5629822900746038e-05,0.3293386083931686,0.3599661051181848,,-0.3,0.5739237174907756,0.5850490771106162,-1,-0.825,11.467344941179714,38.37707649105127,0.010036972446275253,0.011374145854218146,0.03176562,0.034627379,0.016583820350351407,0.020001668631513026,0.027703481387573458,0.033985034740607385,193.8160201645294,59.91123980245333,,473.5216271790023,28.66491181,8.517393468988988,,203.9293995479808,5.7127451359583e-05,4.736085179225199e-05,0,3.4963494560643324e-05,7.157265287020534e-05,4.677429985419391e-05,0.000209472,0.000115521,0.061003267,0.028213326,,0.4472135954999579,0.038259420851168194,0.017109918483094823,,0.2362907813126304
