wservice,wservice_old,rep_mean,rep_std,n_old_old_mean,n_old_old_std,n_young_old_mean,n_young_old_std,n_non_elderly_mean,n_non_elderly_std,n_old_old_movers_mean,n_old_old_movers_std,n_young_old_movers_mean,n_young_old_movers_std,n_non_elderly_movers_mean,n_non_elderly_movers_std,pct_old_old_movers_mean,pct_old_old_movers_std,pct_young_old_movers_mean,pct_young_old_movers_std,pct_non_elderly_movers_mean,pct_non_elderly_movers_std,svc_old_old_movers_mean,svc_old_old_movers_std,svc_young_old_movers_mean,svc_young_old_movers_std,svc_non_elderly_movers_mean,svc_non_elderly_movers_std
0.25,1.0,4.5,2.449489742783178,1735.125,5.866064633612054,2356.25,4.6521884251239864,13616.625,6.3005101834237225,184.875,6.197637798848389,286.625,11.083288578498971,1763.75,18.452642087245938,10.654124962983609,0.3295502443387287,12.164456491831858,0.47012353961822395,12.952935059018975,0.1374297599139478,0.6483208675840144,0.020172387029208202,0.6021705590558605,0.014709692508070955,0.634935794341046,0.02137581381550252
0.25,1.5,4.5,2.449489742783178,1739.25,3.7321001364608803,2354.5,7.270291799999683,13618.375,10.23910570871709,182.625,6.523309852258394,283.375,9.364637129725224,1756.75,29.57677660404721,10.500457375969054,0.38223666416641516,12.03551549116007,0.3984134203155043,12.899896326030749,0.22001470647434485,0.6692176890363655,0.029649879762613122,0.6072685645510573,0.02016884936440592,0.6456718569525075,0.01765870471814968
0.25,2.0,4.5,2.449489742783178,1731.125,5.938674695827103,2358.25,6.088631091750297,13618.625,16.256317453312032,181.625,4.596194077712558,282.5,8.535639569308374,1763.875,16.651362020653355,10.491451016155663,0.2498256593129749,11.97905000645016,0.35421153523524695,12.95185904408074,0.11207020833205471,0.6993767498946925,0.04254229464956161,0.6187781632456357,0.024392498684900264,0.6433783344374089,0.01398822906380121
0.35,1.0,4.5,2.449489742783178,1735.125,7.395703385847004,2356.875,7.298483208369969,13625.25,8.581541653039702,188.625,9.60561591689243,289.125,8.919280880686026,1772.25,24.777582033535317,10.870434817519925,0.538913099733824,12.267755665487998,0.3921383521853063,13.007062697828346,0.17849668649339992,0.6723570133379361,0.021015002715589582,0.6191056881865958,0.016568955975743486,0.6528927461825562,0.01032630526327149
0.35,1.5,4.5,2.449489742783178,1734.625,4.897156609415596,2352.625,7.463003991117059,13630.375,16.792323926637927,177.0,7.4642002729217864,283.125,9.493418773023768,1768.625,20.276217595991614,10.203273797220268,0.41135019788497235,12.033646837663476,0.3742817473208935,12.975680791228193,0.15437806574700064,0.6940262040209948,0.04133137782147473,0.6175063328673008,0.03528868460872744,0.6472775952762261,0.015680455813308042
0.35,2.0,4.5,2.449489742783178,1731.75,4.832922806867795,2359.5,8.451542547285186,13620.875,16.805080014260902,181.75,10.45739656210583,277.75,11.29791384030065,1762.5,21.050958580142073,10.495977126367793,0.6197139680006384,11.771070508460353,0.4620649097759628,12.93971917022818,0.15596036818466244,0.7110740030896076,0.024963252009078604,0.6364743177109324,0.03747282001661691,0.6459867679323315,0.010811874925919203
