wservice,wservice_old,rep,svc_old_old_movers,svc_young_old_movers,svc_non_elderly_movers
0.5,1.0,1,0.6562243971222372,0.6075795363993458,0.6536221001979067
0.5,1.0,2,0.6943377255343065,0.6770620369291175,0.6561186124063446
0.5,1.0,3,0.6619436796999375,0.6839644540286076,0.6265662904855357
0.5,1.0,4,0.603473769622856,0.6068727423751906,0.6140338071908129
0.5,1.0,5,0.6545782949661514,0.5923961557487603,0.6562597365128401
0.5,1.0,6,0.6736360287792551,0.6420033600737118,0.6184210260530587
0.5,1.0,7,0.6530114810506966,0.6133921639803128,0.6390186624429035
0.5,1.0,8,0.6416514254046978,0.6459867971794819,0.6227321305944654
0.5,1.5,1,0.6517931409703642,0.6389413148250095,0.6388114137436384
0.5,1.5,2,0.6874904931222312,0.5998407792167285,0.6554547192863333
0.5,1.5,3,0.7140476045127393,0.6549374886047232,0.635629041478941
0.5,1.5,4,0.6431586693367483,0.666740319218756,0.6324238857210216
0.5,1.5,5,0.6690605917580054,0.6452304677647145,0.6494043523649005
0.5,1.5,6,0.6760273967488868,0.6497609550646728,0.6438688169121188
0.5,1.5,7,0.7183616366815242,0.6658579969672473,0.6743064510648195
0.5,1.5,8,0.7078006743114224,0.6808175284689068,0.6689117825553909
0.75,1.0,1,0.6709681743337799,0.6132034751298305,0.6339079822580723
0.75,1.0,2,0.6854872489747351,0.6447464680531305,0.6516648828911268
0.75,1.0,3,0.667253929028655,0.6652576086263201,0.6426593700683189
0.75,1.0,4,0.6813945798278499,0.668578491087228,0.6424855660676365
0.75,1.0,5,0.6822172802139288,0.707948540232995,0.653779183900946
0.75,1.0,6,0.6329791478900978,0.6444093159498416,0.6244238027003163
0.75,1.0,7,0.6784413245482034,0.6572891290859288,0.6731884741396882
0.75,1.0,8,0.6699776583440349,0.6487709231294885,0.6564516577712934
0.75,1.5,1,0.7236824354477349,0.6664099523967284,0.6606859033970668
0.75,1.5,2,0.6916151226554932,0.6719191904720295,0.6402243536575686
0.75,1.5,3,0.6423739408949273,0.6349907390589286,0.6324288322782529
0.75,1.5,4,0.7192502846684546,0.6980555534467681,0.6638408037898229
0.75,1.5,5,0.7249854408046185,0.6681085934984423,0.6343000419734527
0.75,1.5,6,0.6884150584340006,0.6757906861899753,0.6520298396232836
0.75,1.5,7,0.6517461960439118,0.6184616931257579,0.6462028491320898
0.75,1.5,8,0.6756073594363645,0.684411454016983,0.6425655374564152
1.0,1.0,1,0.6689364291653627,0.7221129708902231,0.6632736253178048
1.0,1.0,2,0.6127944599861775,0.6444451958582276,0.6412714320155639
1.0,1.0,3,0.6742861859403483,0.669906108871394,0.6661362670672352
1.0,1.0,4,0.656507507892142,0.646308502716963,0.6456361908746489
1.0,1.0,5,0.6958351047344264,0.6718266208917199,0.6324018789917379
1.0,1.0,6,0.6303541813178334,0.6593418313868846,0.6285704673844078
1.0,1.0,7,0.6096460088256667,0.64943809242149,0.6547982161845106
1.0,1.0,8,0.6181417066186998,0.6743066853899407,0.6836903136021312
1.0,1.5,1,0.6698259348553486,0.6903284903369497,0.661136151847835
1.0,1.5,2,0.6946763151748662,0.7280763325705674,0.6315844785285568
1.0,1.5,3,0.6565831341846284,0.6794084951454542,0.6338782048484032
1.0,1.5,4,0.6212015794234906,0.620872329896805,0.6433439571102457
1.0,1.5,5,0.694139861004987,0.6406890796347521,0.6268112820121912
1.0,1.5,6,0.7205977663888339,0.6763971158423958,0.6400917760870637
1.0,1.5,7,0.6619778427862052,0.6968330421938149,0.6706780012379973
1.0,1.5,8,0.7028950510459517,0.6680476935955553,0.6639920476367956
1.5,1.0,1,0.6342432238757743,0.6604052718129552,0.6348020387075307
1.5,1.0,2,0.6332349576272912,0.6980746205327202,0.6676164168983704
1.5,1.0,3,0.6653120212185738,0.7017279707586102,0.637464410105143
1.5,1.0,4,0.6276837708905986,0.6980715802041427,0.6571610075155198
1.5,1.0,5,0.681373266032396,0.74958326874651,0.6479366152523443
1.5,1.0,6,0.61450304474934,0.7101429707426291,0.629033338770093
1.5,1.0,7,0.6306649680202405,0.7110742888784026,0.6324383791134918
1.5,1.0,8,0.6852318164754565,0.7322145647724438,0.6471388007503305
1.5,1.5,1,0.6391715965470532,0.7039259537982615,0.637021780135595
1.5,1.5,2,0.6935073384517526,0.7329698581547307,0.6245796894929343
1.5,1.5,3,0.7222755335370049,0.7001566138252775,0.643844831376366
1.5,1.5,4,0.6900271942365959,0.7531237301257675,0.643799686826578
1.5,1.5,5,0.6946730748427039,0.7372439172454094,0.6275856600688586
1.5,1.5,6,0.6853990182193,0.711769904943027,0.6579069421344739
1.5,1.5,7,0.6680330417568209,0.678398288092623,0.6212852127240109
1.5,1.5,8,0.6976235606686624,0.7293707910686725,0.6325145344412166
