ParamVaried,wservice,eld_movef,svc_filter,Replicate,PopChange_E,PopChange_NE,PopPctChange_E,PopPctChange_NE,SAServiceAvg_E,SAServiceAvg_NE,SAServiceDelta_E,SAServiceDelta_NE,BldServiceAvg_E,BldServiceAvg_NE,BldServiceDelta_E,BldServiceDelta_NE,NormAssetsCity_Avg_E,NormAssetsCity_Avg_NE,NormAssetsCity_Delta_E,NormAssetsCity_Delta_NE,NormAssetsSA_Avg_E,NormAssetsSA_Avg_NE,NormAssetsSA_Delta_E,NormAssetsSA_Delta_NE,AttemptSA_Avg_E,AttemptSA_Avg_NE,AttemptSA_Delta_E,AttemptSA_Delta_NE,AttemptCity_Avg_E,AttemptCity_Avg_NE,AttemptCity_Delta_E,AttemptCity_Delta_NE,SuccessSA_Avg_E,SuccessSA_Avg_NE,SuccessSA_Delta_E,SuccessSA_Delta_NE,SuccessCity_Avg_E,SuccessCity_Avg_NE,SuccessCity_Delta_E,SuccessCity_Delta_NE
svc_filter_full_factorial,0,0.25,0,1,-88,-445,-2.17714002968827,-1.39088579108583,2.38999077788916,0.589274409178277,0.898869225149878,1.07292065875793,0.843273882340365,0.823094087958082,1.14123570644585,1.07741081412595,454.063785684487,1239.80453276142,0,-2277,56.1394252914319,89.9593118817604,0,0,0.00219581286279287,0.00239201133243775,0,-1.47852443261625e-05,0.0016947038687389,0.00192957401883449,0.000252908447142135,-3.0374129965052e-05,0.286292584835476,0.270380088394015,0,0,0.407564932355921,0.591206170452422,0,-1
svc_filter_full_factorial,0,0.25,0,2,-71,-460,-1.75699084385053,-1.43803926472427,2.38864525331174,0.583767267325904,0.904626811619182,1.06828969529268,0.858689326252684,0.824345319648422,1.17017032893537,1.0787001062126,818.46635826432,1307.40685717704,-1471.91904761905,-1586.44444444444,46.251451119867,69.4913261246106,-1,0,0.00217110911937591,0.0024288809172405,0,-5.17568665581901e-05,0.00159822798081362,0.00194767256112814,0.000251889168765743,9.9258549030233e-05,0.278643781163918,0.319846508696959,-1,0,0.451979813664596,0.582843078072713,-0.771428571428571,-0.666666666666667
svc_filter_full_factorial,0,0.25,0,3,-66,-469,-1.6328550222662,-1.4658540396937,2.36505892330999,0.574576374352674,0.843942423952126,1.03429735542017,0.849307419053564,0.810006132571693,1.15175047251394,1.05493149111002,1078.26912073652,1444.56529621322,0,-1708.25,46.1017905491306,99.3815222124044,0,-1,0.00220398365603205,0.0024208241923613,0,0,0.00151756030907122,0.00193047086802598,0,0.000445937770779285,0.252217658523657,0.379785331039104,0,-1,0.559112030412044,0.593809525053912,0,-0.75
svc_filter_full_factorial,0,0.25,0,4,-80,-405,-1.97921820880752,-1.26582278481013,2.37823624026924,0.575077618995304,0.868545395695107,1.03291331918055,0.841104350277313,0.802862057222557,1.13110348698405,1.03610196666712,897.027388687086,1339.64088816402,-2607,-2296.66666666667,62.9238303244491,67.1739513712157,0,0,0.00220701280674172,0.00234098003892352,0,0,0.00156689835178903,0.00188711393322034,0.000252397778899546,0.000222791221384752,0.403084251046322,0.31743800392846,0,0,0.57087133842869,0.602333082358947,-1,-0.666666666666667
svc_filter_full_factorial,0,0.25,0,5,-96,-453,-2.37564959168523,-1.4160232565409,2.38988220310788,0.591458981965629,0.918346165866946,1.09308633755238,0.846332874730704,0.83033151972773,1.1539995450263,1.09500642539173,1053.11909829865,1409.90981749402,-2191,-2810.5,147.307351598047,65.605001826537,0,0,0.00225936493809285,0.00240189025201439,0,0,0.00164072756009922,0.00192524249583292,0,0.000256356186041996,0.345512588315989,0.340988244274945,0,0,0.566794082895614,0.572401176461058,-1,-0.833333333333333
svc_filter_full_factorial,0,0.25,0,6,-83,-473,-2.0534388916378,-1.47840220041258,2.38859111955832,0.578599577156929,0.906580948953585,1.05610297519502,0.842770753226305,0.800215196402175,1.15033792746935,1.04806605246752,796.858235740047,1401.67796433451,-936,-2127.5,131.591593278321,65.3092383205081,0,-132,0.0021511038269801,0.0023717370094798,0,0,0.00158292010900934,0.00194657365393934,0.000505178075271533,0.000382574667301688,0.315582827219902,0.402857958654555,0,-1,0.403917072589594,0.606668571858177,-1,-0.75
svc_filter_full_factorial,0,0.25,0,7,-74,-482,-1.83168316831683,-1.50657956427969,2.39264013624997,0.579559472100712,0.900394524492068,1.06116398580255,0.846308173235164,0.820071059657122,1.1483230909486,1.07370293682401,849.616961279461,1464.32264641706,0,-4106,82.2452280282832,67.7723410613646,0,0,0.00227806903983466,0.0023912478388012,0,-1.56936597614564e-05,0.00161421595231925,0.00193067412487909,0,0.000255792046668503,0.308441066849283,0.327663726799678,0,0,0.4878367003367,0.609703616882745,0,-1
svc_filter_full_factorial,0,0.25,0,8,-67,-461,-1.65841584158416,-1.44094020566999,2.39149992951785,0.577615070341438,0.900540745698273,1.04565497873694,0.845602142392376,0.814929382536586,1.14232296105411,1.05882695173134,1168.2130050165,1410.41189090699,-1709,-3056,62.6418476798175,67.385313070328,0,0,0.00218589612604016,0.00243750123455807,0,0,0.00154151447053251,0.00196079721309943,0.000251698968034231,0.000352964753853555,0.277962388587077,0.299428178752475,0,0,0.604123436052164,0.603674599455975,-1,-0.888888888888889
svc_filter_full_factorial,0,0.25,0,9,-78,-399,-1.92973775358733,-1.24703087885986,2.39685962037797,0.580991352341463,0.90885471858794,1.05577623668047,0.841545141294137,0.815141038613956,1.13682536867229,1.05946196766204,794.767572570798,1400.02374564311,-758.5,-2336.2,60.3065542878679,104.030100839506,-72.0652173913043,0,0.00223270364020739,0.00237639706467507,0,0,0.00154894682880629,0.00189869358803435,0,-9.29723852282497e-05,0.319084670768297,0.378147478299245,-0.417391304347826,0,0.530111465595337,0.559610602662459,-1,-0.6
svc_filter_full_factorial,0,0.25,0,10,-80,-492,-1.97970799307102,-1.53793254352787,2.37842791324003,0.571910492711481,0.866220010296676,1.0315675326432,0.838759973532575,0.808163657384969,1.12981638851496,1.04605894158409,995.548740436222,1370.93969591678,-1882.5,-1993.42857142857,64.0354982215071,60.3593674215684,0,0,0.00224168777991958,0.00238805098608918,0,-2.99301739318118e-05,0.00163380952486147,0.00194923892592901,0,-9.18233823916013e-05,0.24433635400135,0.316758744307933,0,0,0.559485453653884,0.578315777009422,-1,-0.714285714285714
svc_filter_full_factorial,0,0.25,1,1,-84,-398,-2.07715133531157,-1.2440221298409,2.39303567411199,0.58261959692788,0.88521596595048,1.04924532676713,0.849991492222769,0.816498992776336,1.15311855636837,1.06296079172174,839.364845258033,1448.76583707906,0,-2132.57142857143,46.0631905490313,68.2180961936519,-54.8245363766048,0,0.00227523277122013,0.00242861520433527,0,0,0.00180483008285093,0.00193925892506051,0,6.6057336575055e-05,0.231318747353156,0.282427274917255,-0.356633380884451,0,0.564310676776801,0.615905660269476,0,-0.714285714285714
svc_filter_full_factorial,0,0.25,1,2,-94,-420,-2.32615689185845,-1.31295132701866,2.39105955020261,0.568536938826209,0.901508769717152,1.02547549224904,0.839892447183643,0.798418215177935,1.13957232471139,1.03400576870658,1177.00856926658,1446.0304636296,-3787,-2970,55.5718509172834,39.2236413765123,0,0,0.00212624953000258,0.00240363901517771,0,-1.80404466814598e-05,0.00181223187745852,0.00189036646945173,0.000253356979984799,2.49539357031011e-06,0.132641880656057,0.274999321079286,0,0,0.573676787788286,0.606557833976068,-1,-0.833333333333333
svc_filter_full_factorial,0,0.25,1,3,-68,-427,-1.68316831683168,-1.33462524223292,2.35842700922754,0.570256956681785,0.82914170943364,1.01959303345098,0.826453777119459,0.794008431446803,1.10770213301247,1.02232433043437,974.763593495298,1332.66296736283,-2490,-1673,28.2983880564861,61.8098301819597,-1,0,0.00209527034372994,0.00237729725809496,0,0,0.00168613003938817,0.00187534477957879,0,0.000159661632631133,0.226295130600367,0.274857092329021,-1,0,0.465408977613135,0.580626203469856,-1,-0.666666666666667
