ParamVaried,wservice,eld_movef,svc_filter,GroupCount,mean_PopChange_E,std_PopChange_E,mean_PopChange_NE,std_PopChange_NE,mean_PopPctChange_E,std_PopPctChange_E,mean_PopPctChange_NE,std_PopPctChange_NE,mean_SAServiceAvg_E,std_SAServiceAvg_E,mean_SAServiceAvg_NE,std_SAServiceAvg_NE,mean_SAServiceDelta_E,std_SAServiceDelta_E,mean_SAServiceDelta_NE,std_SAServiceDelta_NE,mean_BldServiceAvg_E,std_BldServiceAvg_E,mean_BldServiceAvg_NE,std_BldServiceAvg_NE,mean_BldServiceDelta_E,std_BldServiceDelta_E,mean_BldServiceDelta_NE,std_BldServiceDelta_NE,mean_NormAssetsCity_Avg_E,std_NormAssetsCity_Avg_E,mean_NormAssetsCity_Avg_NE,std_NormAssetsCity_Avg_NE,mean_NormAssetsCity_Delta_E,std_NormAssetsCity_Delta_E,mean_NormAssetsCity_Delta_NE,std_NormAssetsCity_Delta_NE,mean_NormAssetsSA_Avg_E,std_NormAssetsSA_Avg_E,mean_NormAssetsSA_Avg_NE,std_NormAssetsSA_Avg_NE,mean_NormAssetsSA_Delta_E,std_NormAssetsSA_Delta_E,mean_NormAssetsSA_Delta_NE,std_NormAssetsSA_Delta_NE,mean_AttemptSA_Avg_E,std_AttemptSA_Avg_E,mean_AttemptSA_Avg_NE,std_AttemptSA_Avg_NE,mean_AttemptSA_Delta_E,std_AttemptSA_Delta_E,mean_AttemptSA_Delta_NE,std_AttemptSA_Delta_NE,mean_AttemptCity_Avg_E,std_AttemptCity_Avg_E,mean_AttemptCity_Avg_NE,std_AttemptCity_Avg_NE,mean_AttemptCity_Delta_E,std_AttemptCity_Delta_E,mean_AttemptCity_Delta_NE,std_AttemptCity_Delta_NE,mean_SuccessSA_Avg_E,std_SuccessSA_Avg_E,mean_SuccessSA_Avg_NE,std_SuccessSA_Avg_NE,mean_SuccessSA_Delta_E,std_SuccessSA_Delta_E,mean_SuccessSA_Delta_NE,std_SuccessSA_Delta_NE,mean_SuccessCity_Avg_E,std_SuccessCity_Avg_E,mean_SuccessCity_Avg_NE,std_SuccessCity_Avg_NE,mean_SuccessCity_Delta_E,std_SuccessCity_Delta_E,mean_SuccessCity_Delta_NE,std_SuccessCity_Delta_NE
svc_filter_full_factorial,0,0.25,0,10,-78.3,9.34582497398943,-453.9,30.5630495860606,-1.93748373444949,0.231157400877596,-1.41875105296048,0.0955790577609441,2.38598321168322,0.00938745854360807,0.580283061646981,0.00631247084428045,0.891692097031178,0.0237209470879139,1.05517730752619,0.0198344970794385,0.845369403633519,0.00560194865440133,0.814915945172329,0.00972493355318493,1.14558852765648,0.0120554048561342,1.06282676537764,0.0180166225909004,890.595026671409,201.432314685643,1378.87033350282,67.1582459284623,-1155.5919047619,961.795466777936,-2429.79896825397,738.634397888254,75.9544570378723,35.1604690765979,75.6467474129804,15.829450684089,-7.30652173913043,22.7560564793251,-13.3,41.7081127200293,0.00221267437960173,3.98984683940178e-05,0.00239495208665808,2.89545712879338e-05,0,0,-1.12165944577621e-05,1.7579543167192e-05,0.00159395249560409,5.35629214748195e-05,0.00193060513829231,2.29607048979362e-05,0.000151407243811319,0.00017651918316587,0.000180050529747511,0.000198399231402649,0.303115817131127,0.0468925573224915,0.335329426314737,0.0406511048454059,-0.141739130434783,0.328855876906096,-0.2,0.421637021355784,0.514179632598454,0.0718677587813002,0.590056620026783,0.016472486575061,-0.677142857142857,0.472567167597535,-0.786984126984127,0.13953124321831
svc_filter_full_factorial,0,0.25,1,10,-81.6,15.233005102226,-440.8,29.8395710424932,-2.01931763622254,0.377066644005683,-1.37782878886308,0.0932252010061514,2.38123885818063,0.0164409211384453,0.577439397279323,0.0127145141682958,0.882842821956669,0.0375292845543758,1.04839440492408,0.0352758076893235,0.844329713377977,0.0132550995598141,0.810019576764846,0.0171425791351488,1.14556933336086,0.0229298657685398,1.05586197007974,0.0295199801130157,983.531678220938,255.558526927489,1413.70079514678,44.5409611888742,-2762.15,1652.62898387186,-2503.89642857143,985.97938470656,40.6012234687826,18.9342093850589,82.4393952944424,24.4433946195455,-26.8401676968775,28.3638201895695,-61.65,194.427942950595,0.00219977769584106,7.2205043539663e-05,0.00240100929148739,1.84099617642787e-05,0,0,-2.60311752716851e-05,2.96503169168864e-05,0.0018052102039088,7.06738074228531e-05,0.00192524154901556,3.31146470400775e-05,7.60135211057181e-05,0.000122393405638184,0.000167248656583631,0.000112808612613806,0.205072465843195,0.0531062020338856,0.311789967531382,0.0336063144907274,-0.274353596107808,0.308456045471945,-0.15,0.337474278855276,0.500290030499662,0.0739930991656528,0.601556545030496,0.0122233955719259,-0.85,0.337474278855276,-0.758333333333333,0.172612205666267
svc_filter_full_factorial,0,0.5,0,10,-85,14.7572957474524,-472.4,50.157972668582,-2.10359912407199,0.365291652617533,-1.47657891592118,0.156705573878754,2.37885993688228,0.00799696163130632,0.571589683131778,0.00621061444210403,0.872628250579242,0.0229898419244163,1.03622701603807,0.0188346452731075,0.837720848742666,0.00683352617045828,0.80464870884562,0.00915811893800454,1.13537768327389,0.0141113756264694,1.04947605276431,0.0165170693538088,1009.85515527235,206.730355518464,1399.11673702324,61.439088470332,-2307.5,1514.51095883934,-2000.5948015873,789.844429797399,73.1536427908511,23.1266371448332,76.8333937284594,12.7351640418582,-91,277.290862132567,-53.9666666666667,89.1084025634362,0.00218967270867821,6.04252983097506e-05,0.00237108760646128,2.39797463769348e-05,-3.85226275987957e-05,0.000121819244666658,-4.99317872617309e-05,4.18083188362262e-05,0.00162361904309028,4.62060895250896e-05,0.00193933664427251,2.81983938872833e-05,2.97026750062898e-05,0.000558599220489871,8.23469473608371e-05,0.000126039303674859,0.28774340306128,0.0436416461144653,0.314717501382151,0.0412985668818915,-0.4,0.516397779494322,-0.116666666666667,0.193250301454734,0.552040472005045,0.0688313418123943,0.602612786288387,0.0087296574880118,-0.825,0.334373377462315,-0.807936507936508,0.266495493899101
svc_filter_full_factorial,0,0.5,1,10,-85.7,13.9367619386044,-407.9,63.0633720069653,-2.12077766726481,0.344672578817835,-1.27500261659391,0.197091976962842,2.38328911633064,0.00729552888392104,0.575040582863812,0.00401094428640145,0.880571077223899,0.0228600403354824,1.0415641809237,0.0130544664733099,0.842973979060137,0.00975919702056512,0.807502768635575,0.00680394211471442,1.14282217027099,0.0185466821499704,1.0517295330606,0.0132435333144948,1085.62907997065,119.348246471321,1370.64940551472,56.1726734202416,-1823.35,2354.81820541535,-2261.14625901876,782.111774058203,41.4129900420561,17.6747627116684,72.3902546595289,18.4958897623269,-16.4,51.8613536267614,-104.466666666667,138.393467518709,0.00217716168944267,6.02249508008992e-05,0.00237986117090364,3.92126058966751e-05,-1.24285359184688e-05,3.93024814835742e-05,-3.14966126616209e-05,4.05897994446104e-05,0.00184587700110916,5.90641984125354e-05,0.00189821656247717,3.88252772645895e-05,0.000281283634160711,0.000738160742042451,0.000119597147784569,0.000167516081980294,0.216368586231558,0.0641230432326395,0.329863820571601,0.038797921799676,-0.1,0.316227766016838,-0.183333333333333,0.241522945769824,0.545694810347407,0.0699442206827876,0.588988083741086,0.0126436765267173,-0.55,0.497214463005877,-0.741107503607504,0.24503879626327
svc_filter_full_factorial,0,1,0,10,-101.9,9.21894185299424,-465.2,57.3620083330422,-2.52197279861616,0.228277868881663,-1.45404836570314,0.179287081474986,2.38023894866058,0.00875566609007196,0.576528591349799,0.00465398619089753,0.878432373521891,0.0213493667225285,1.04818347152483,0.014337030939238,0.842412193786302,0.00821168373945085,0.810415904599567,0.00788300058715668,1.14027545502112,0.0157593330452288,1.0561805123003,0.013765398866536,1121.52617646002,240.230243550845,1400.6335557852,65.7874951260105,-1565.4,1259.51667978898,-2028.70075396825,971.727619898755,78.6300860880237,29.4126302075054,87.4318422534108,26.2094221579234,-114.8,275.223061049276,-139.5,206.673655795798,0.00222182877531529,6.99247233104633e-05,0.00237381877140983,2.29796034311944e-05,-1.24285359184688e-05,3.93024814835742e-05,-2.64787421689939e-05,3.06612889575275e-05,0.0017353652364742,4.70126258844491e-05,0.00192593786261151,3.63772241657027e-05,0.000334299992150501,0.000706401822323802,6.96468404401717e-05,0.00015026889117482,0.259211954406258,0.0563728775667119,0.344227168051416,0.0471194782268049,-0.15,0.337474278855276,-0.35,0.474341649025257,0.556031416974697,0.0388057860289468,0.596466987655765,0.0120840481875273,-0.85,0.337474278855276,-0.752857142857143,0.155203074895577
svc_filter_full_factorial,0,1,1,10,-101.3,14.0637437721571,-440,69.6626793117297,-2.50670556904843,0.348208672682307,-1.37527650512759,0.217752038551316,2.38495324028763,0.00650967027537433,0.574371369380404,0.00467997678341208,0.887206484655675,0.0255255821952685,1.04208777087027,0.0194458356515236,0.837004864457211,0.0126230379977011,0.807159373468047,0.0108110515250862,1.1345930051812,0.0218557002896286,1.05212572676115,0.0194063364518928,1104.49479343662,201.492168834147,1443.00428232572,99.7503284844929,-1830.425,1938.31126402598,-2815.72103174603,851.680643812078,48.2473216656732,28.1962893697389,80.5995318129073,20.014574453076,-0.1,0.316227766016838,-152.35,265.06645393184,0.0022199183114054,5.73182796807756e-05,0.00238252343831644,1.87581933647393e-05,-4.01445099717432e-05,8.48447216871235e-05,-2.86703334777679e-05,2.8613995452587e-05,0.00198049243209287,5.03017338874395e-05,0.00189733014526521,3.97867299508703e-05,-6.95813421956961e-05,0.000288024641902416,0.000163916228111786,0.000110036072016928,0.203690728867989,0.0487079805779089,0.352480981176967,0.0246659507488376,-0.1,0.316227766016838,-0.3,0.483045891539648,0.579572519437557,0.0409010624445161,0.602902746754807,0.0138182706307689,-0.775,0.415832498329155,-0.878809523809524,0.136943058825719
svc_filter_full_factorial,0.25,0.25,0,10,-58.8,12.7261759989227,-449.1,42.6964739631845,-1.45511488075677,0.314714189447089,-1.40375450173137,0.133472046506067,2.42042226485603,0.00887339523812304,0.576076502931457,0.00757995102346422,0.940519183876483,0.0208153090641619,1.04425209526195,0.0227872168142471,0.839322634724891,0.00923549504199486,0.807168515178536,0.0107789229956344,1.13600466989572,0.0144450251851581,1.05013818883993,0.0186516396401644,962.964066448414,206.370051462503,1383.61083251454,85.5540069638667,-1267.3,1323.13814634791,-2496.47974025974,1183.52261062676,72.1736284124821,29.4032600134216,81.4438681204839,13.5505313886576,-173.4,278.923406451783,-82.1833333333333,211.978080191046,0.00241131307359533,3.3684965176869e-05,0.0023903983401408,4.16025675597793e-05,0,0,-8.77541267455557e-05,0.000190110623326695,0.00156607197359588,4.43359883601018e-05,0.00193245327602599,3.50376562711698e-05,0.000276245685791287,0.000449074059271354,5.67578171095514e-05,0.000192129785070013,0.293985058083435,0.0517113083029685,0.32509334702991,0.0353946905985526,-0.4,0.516397779494322,-0.133333333333333,0.322030594359765,0.512405008779048,0.0508152112138612,0.591853410606616,0.0126250788112545,-0.8,0.421637021355784,-0.742337662337662,0.308200368134438
svc_filter_full_factorial,0.25,0.25,1,10,-64.9,13.4035650315711,-423.9,39.3374291652789,-1.60601486947926,0.331787886574898,-1.32495155794149,0.122991964933532,2.42818676280059,0.00995110198022463,0.580074546209453,0.00773171867850997,0.963243072972993,0.0301765670043218,1.05572124177151,0.0243530746856915,0.848889509534042,0.00961357314168036,0.815668384899208,0.0117793050917237,1.15233155557482,0.0190791256413189,1.0631734025051,0.0220143738855756,1023.54866792188,196.408725983503,1399.30185510115,58.0378647191135,-2083.6,1875.35597805975,-2282.11567099567,1126.84122097526,60.886416314719,23.8687585024375,83.5205316130205,22.3867389763524,-69.2899717514124,184.473705848318,-204.4,245.085903307391,0.00244143180231407,5.29799394353709e-05,0.00239515847675986,3.92533417901872e-05,0,0,-4.00675711209988e-05,5.1135164893051e-05,0.00182622711568499,7.46988006482741e-05,0.00192297252650335,4.41830430481664e-05,7.56063547950019e-05,0.000121739535327115,6.60366992001275e-05,0.000153693550780833,0.221680752625204,0.0575074351082933,0.330148852516428,0.0385850005976914,-0.419632768361582,0.438679762547688,-0.4,0.459468291736341,0.540927895345916,0.0359765593937661,0.601517465344932,0.0138316900745719,-0.8,0.421637021355784,-0.763354978354978,0.204735667962272
svc_filter_full_factorial,0.25,0.5,0,10,-70,9.94428926011753,-451.5,63.9413794033254,-1.73250671828064,0.246129924679508,-1.41118822789975,0.19988643446697,2.41896251554117,0.00813945887922835,0.576804058167923,0.00530274087811003,0.93715302944664,0.0247643587021542,1.04754822453972,0.0140428365521969,0.837489158954206,0.00831463094119796,0.806840908657468,0.00815264981359736,1.13654981967759,0.0151831009680644,1.05185208715983,0.0164629819844182,1033.06744364244,148.908930826094,1385.37121719515,21.5889800884397,-1187.65,1299.64427813589,-2628.88045454545,858.163146974752,60.6850434134285,12.0048062271663,77.3696385769512,11.7391207380473,-0.4,1.26491106406735,-11.375,35.9709083844153,0.0024241752678571,5.71706673764697e-05,0.00238214281802853,3.68757193742566e-05,-2.31481481481482e-05,7.32008717631569e-05,-3.44538217888535e-05,8.89750668301651e-05,0.0016408877732853,5.2199730931484e-05,0.00193481339269302,4.54959870204823e-05,0.000154790803748842,0.00087855084403722,0.000120344732248825,0.000153187855098663,0.25395076934352,0.0427941747952222,0.327452217517237,0.0445536943920835,-0.1,0.316227766016838,-0.025,0.0790569415042095,0.536958449129852,0.0402935169909524,0.599461958305274,0.0120483120504337,-0.733333333333333,0.409757531435239,-0.842698412698413,0.162815933810789
svc_filter_full_factorial,0.25,0.5,1,10,-65.8,7.69992784958982,-441.4,48.7538032704458,-1.62818251979337,0.19045230135457,-1.37965326862355,0.152359654769959,2.41775026565627,0.00934057186028976,0.57458316679825,0.00555394737555219,0.938680709862878,0.0202143331332209,1.04072937660859,0.0156937359821216,0.838402564524348,0.00871718497182533,0.806480475630258,0.00598484695605132,1.13386237135105,0.0196433553845696,1.04793461898423,0.0143474671204559,1210.06926527471,163.338938020708,1378.88326713135,60.4098287975586,-1567.5,1768.76865518234,-2269.21857142857,816.190200918917,40.2330811163731,16.4087942028192,86.8027595485621,22.000155112989,-2.4,6.56928881657334,-175.75,182.881146892972,0.00240347971112985,5.33878833365566e-05,0.00238648566702796,2.49376628482887e-05,0,0,-4.86101586541968e-05,5.72578920059075e-05,0.00183440264013873,5.01624803913893e-05,0.00191527153756002,3.46839723132096e-05,5.16108496734391e-05,0.000284370049556175,0.000132697874126884,0.000149552181122139,0.189419757168461,0.0494886396551642,0.343040540096304,0.0583664590399807,-0.3,0.483045891539648,-0.416666666666667,0.439205230578942,0.576870818575994,0.0479641030352856,0.595957323681415,0.00989938937513004,-0.65,0.474341649025257,-0.772380952380952,0.164081231533951
