locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt.1,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
30001131,0,0,67.0,90.6,3.2,4.1,6.3,5.8,8.0,64.8,15.0,35.8,29.2,2.5,37.7,22.4,16.0,11.7,6.1,3.6,2.5,,36.5,31.3,19.0,8.0,5.2,847.0,185.0,798.0,1214.0,683.0,98000,10.48951049,8.991008991,9.490509491,11.98801199,12.68731269,7.292707293,8.991008991,14.48551449,10.88911089,4.695304695,ירושלים,1,31,,,0.081
30001142,0,0,66.0,90.85,4.3,3.7,6.8,6.9,9.6,60.3,13.5,35.0,36.2,3.0,30.4,23.1,13.5,8.9,11.7,5.6,6.8,,23.8,22.1,22.4,13.5,18.1,718.0,170.0,261.0,971.0,446.0,91700,8.6,10.3,11.2,14.8,11.4,9.5,8.5,9.3,11.2,5.2,ירושלים,1,31,,,0.08
30001151,0,0,66.8,79.7,1.3,0.6,1.6,1.8,3.4,86.2,44.4,23.0,45.1,2.5,29.2,34.6,13.3,8.6,7.8,4.6,2.0,,34.4,29.3,19.1,14.0,3.1,,,,,,126100,7.907907908,9.50950951,6.606606607,11.61161161,8.608608609,6.206206206,11.41141141,10.11011011,11.11111111,16.91691692,ירושלים,1,31,,,0.123
30001152,0,0,66.8,79.7,1.3,0.6,1.6,1.8,3.4,86.2,44.4,23.0,45.1,2.5,29.2,34.6,13.3,8.6,7.8,4.6,2.0,,34.4,29.3,19.1,14.0,3.1,652.0,282.0,541.0,1433.0,987.0,126100,7.907907908,9.50950951,6.606606607,11.61161161,8.608608609,6.206206206,11.41141141,10.11011011,11.11111111,16.91691692,ירושלים,1,31,,,0.123
30001154,0,0,68.4,87.5,1.4,0.9,1.9,1.4,3.1,86.2,48.8,39.9,31.8,3.1,17.9,27.5,15.6,17.4,14.1,5.7,1.9,,35.5,25.9,26.1,10.4,2.2,741.0,434.0,648.0,1441.0,579.0,155400,7.9,7.2,8.0,4.2,5.4,8.5,10.0,12.2,19.3,17.3,ירושלים,1,31,,,0.123
30001214,0,0,63.1,84.2,0.7,1.8,1.7,2.4,4.9,75.1,26.4,34.8,34.2,2.8,30.4,26.9,12.4,8.8,8.9,9.0,3.5,,25.5,24.5,25.9,16.5,7.5,823.0,262.0,433.0,1171.0,537.0,105900,13.7,6.7,9.1,9.4,10.7,10.1,9.9,8.4,11.8,10.2,ירושלים,1,31,,,0.152
30001215,0,0,71.0,86.25,2.8,1.9,3.9,3.0,5.4,70.4,15.3,41.4,31.2,3.0,25.5,24.4,15.3,11.8,11.7,7.0,4.4,,33.7,21.3,23.3,13.4,8.2,1325.0,342.0,633.0,1771.0,813.0,94500,12.3,9.7,10.2,9.5,13.6,9.6,9.7,12.1,8.3,5.0,ירושלים,1,31,,,0.099
30001216,0,0,70.0,87.8,0.2,1.4,3.1,2.2,3.8,69.5,23.2,38.0,31.0,2.7,31.2,25.4,10.3,15.1,10.6,6.3,1.2,,26.2,33.6,21.8,16.8,1.6,1254.0,272.0,432.0,1752.0,705.0,115700,7.492507493,8.091908092,8.291708292,8.491508492,11.28871129,12.28771229,11.88811189,9.89010989,9.490509491,12.78721279,ירושלים,1,31,,,0.142
30001221,0,0,61.1,89.65,1.7,2.9,1.9,3.0,3.8,67.7,16.0,43.4,29.5,3.2,22.8,29.1,11.3,10.8,9.7,7.7,8.5,,19.2,23.2,23.0,18.8,15.8,2203.0,981.0,1463.0,1778.0,774.0,113600,14.68531469,6.793206793,6.493506494,7.792207792,11.28871129,8.591408591,10.18981019,12.98701299,11.38861139,9.79020979,ירושלים,1,31,,,0.107
30001222,0,0,69.5,85.55,1.5,0.7,2.1,2.4,3.5,77.4,27.5,26.2,33.7,2.5,29.9,39.0,10.6,6.4,6.5,5.2,2.3,,27.7,28.8,21.6,15.5,6.4,1007.0,288.0,834.0,1732.0,1172.0,120600,11.4,6.3,8.4,8.3,8.8,9.6,7.1,11.4,13.3,15.4,ירושלים,1,31,,,0.179
30001223,0,0,67.8,82.75,1.9,2.5,1.2,1.7,4.3,73.5,20.9,23.3,32.5,2.3,37.4,33.4,10.3,7.7,6.6,3.6,1.2,,34.1,27.2,22.9,11.5,4.4,719.0,170.0,715.0,1382.0,723.0,116300,12.7254509,11.82364729,9.118236473,7.715430862,5.110220441,9.018036072,7.715430862,11.32264529,12.9258517,12.5250501,ירושלים,1,31,,,0.141
30001311,0,0,67.8,83.65,2.7,0.9,2.6,1.4,3.5,69.4,24.0,24.8,39.3,2.5,25.6,40.6,15.2,6.3,6.0,3.7,2.6,,41.1,23.9,21.5,7.4,6.2,447.0,121.0,434.0,876.0,614.0,103400,13.3,5.2,8.8,12.6,11.6,6.1,7.9,8.8,14.4,11.3,ירושלים,1,31,,,0.153
30001312,0,0,56.9,77.9,1.9,1.5,3.7,3.6,4.9,63.8,17.3,24.9,38.8,2.4,32.9,38.0,10.9,5.6,6.0,3.4,3.2,,31.3,21.2,29.5,12.8,5.3,682.0,165.0,496.0,1235.0,898.0,102700,11.9,10.3,10.9,8.0,8.9,6.8,8.2,9.6,11.8,13.6,ירושלים,1,31,,,0.156
30001313,0,0,66.0,84.8,1.6,3.0,3.2,2.7,3.8,60.2,11.6,21.4,42.8,2.1,40.6,36.1,10.9,3.2,7.3,0.7,1.1,,44.9,26.1,21.9,3.2,3.9,289.0,155.0,302.0,610.0,460.0,103200,10.98901099,13.28671329,6.693306693,9.79020979,9.89010989,12.68731269,7.092907093,10.48951049,9.79020979,9.290709291,ירושלים,1,31,,,0.125
30001314,0,0,60.9,78.25,2.8,2.2,1.0,3.1,6.3,71.8,21.8,22.7,45.6,2.5,23.9,43.0,11.6,7.3,9.0,3.0,2.2,,30.7,26.2,22.8,13.6,6.7,462.0,182.0,422.0,907.0,718.0,92400,12.78721279,9.390609391,10.18981019,13.68631369,7.492507493,11.48851149,6.893106893,8.691308691,7.592407592,11.78821179,ירושלים,1,31,,,0.148
